Capture.event,Sex.Stage,SL,mass0,hindex,surv,mass1,offspring
1,F,26.971,0.413,0,1,0.421,0
1,F,27.745,0.417,0,1,0.448,0
1,F,28.43,0.425,0,1,0.496,0
1,F,29.381,0.517,0,1,0.52,0
1,F,29.686,0.466,0,1,0.553,0
1,F,30.958,0.59,0,1,0.631,0
1,F,30.174,0.594,0,1,0.748,0
1,F,30.867,0.563,0,1,0.8,0
1,F,17.06,0.08,0,0,NA,0
1,F,26.687,0.357,0,0,NA,0
1,F,26.201,0.36,0,0,NA,0
1,F,28.794,0.439,0,0,NA,0
1,F,30.518,0.543,0,1,NA,0
1,F,30.764,0.555,0,0,NA,0
1,F,33.926,0.629,0,0,NA,0
1,F,31.401,0.642,0,0,NA,0
1,F,32.387,0.643,0,0,NA,0
1,F,32.49,0.666,0,0,NA,0
2,F,27.202,0.421,0,0,NA,0
2,F,28.172,0.448,0,1,NA,0
2,F,28.87,0.49,0,0,NA,0
2,F,NA,0.496,0,1,NA,0
2,F,28.401,0.503,0,1,NA,0
2,F,24.854,0.52,0,1,NA,0
2,F,30.845,0.553,0,0,NA,0
2,F,29.848,0.557,0,1,NA,0
2,F,30.152,0.576,0,0,NA,0
2,F,30.719,0.608,0,0,NA,0
2,F,31.301,0.631,0,1,NA,0
2,F,32.013,0.667,0,1,NA,0
2,F,32.61,0.738,0,1,NA,0
2,F,31.871,0.748,0,1,NA,0
2,F,32.662,0.8,0,1,NA,0
5,F,0,0.052,0,1,0.088,0
5,I,0,0.078,0,1,0.093,0
5,I,0,0.081,0,1,0.093,0
5,I,0,0.071,0,1,0.095,0
5,F,0,0.052,0,1,0.096,0
5,F,0,0.042,0,1,0.098,0
5,I,0,0.05,0,1,0.098,0
5,I,0,0.085,0.064,1,0.1,0
5,I,0,0.054,0,1,0.101,0
5,I,0,0.068,0,1,0.102,0
5,I,0,0.088,0,1,0.106,0
5,I,0,0.063,0,1,0.108,0
5,F,0,0.054,0,1,0.109,0
5,F,0,0.06,0,1,0.109,0
