letter,YEAR,height,site,sqrtszt,sqrtszt1
A,04-05,1,1,3.292721169,3.777737881
A,04-05,2,1,2.217780502,2.783050866
A,04-05,3,1,1.55833466,1.811915037
A,04-05,4,1,4.611959773,5.859013836
A,04-05,5,1,2.267458369,2.695103894
A,04-05,6,1,2.943234544,3.363604784
A,04-05,7,1,1.472948808,1.699809646
A,04-05,8,1,2.397087608,3.882675889
A,04-05,9,1,0.642870284,0.927848301
A,04-05,10,1,0.951877915,1.140280689
B,04-05,1,1,0.965636029,1.440217142
B,04-05,2,1,2.250349843,2.860376301
B,04-05,3,1,3.923637822,5.056035994
B,04-05,4,1,2.253442711,2.256187021
B,04-05,5,1,1.722510942,1.822339463
B,04-05,6,1,2.280192741,3.148739159
B,04-05,7,1,2.569743435,2.700718006
B,04-05,8,1,2.677074607,3.071829509
B,04-05,9,1,3.297323349,3.560938255
B,04-05,10,1,3.209048918,3.225982563
C,04-05,1,1,2.10630913,2.377794294
C,04-05,2,1,3.491010424,3.249756486
C,04-05,3,1,1.314063389,1.731872472
C,04-05,4,1,3.079330925,3.415850781
C,04-05,5,1,1.895971635,1.966269439
C,04-05,6,1,1.435469793,1.4736254
C,04-05,7,1,1.512009727,1.769440623
C,04-05,8,1,0.957575626,1.198146694
C,04-05,9,1,2.56871695,2.907255595
C,04-05,10,1,2.587932061,3.126207511
D,04-05,1,1,1.761596108,2.040905354
D,04-05,2,1,3.809013841,4.204400675
D,04-05,3,1,2.025452906,1.96870365
D,04-05,4,1,2.325221821,2.630636195
D,04-05,5,1,1.943805457,0
D,04-05,6,1,1.47920792,1.469391731
D,04-05,7,1,1.739112775,2.012583012
D,04-05,8,1,0.857357162,0.80835554
D,04-05,9,1,0.851949551,0.883672366
D,04-05,10,1,2.645399533,2.829490537
E,04-05,1,1,1.918610059,1.824479282
E,04-05,2,1,1.574487892,1.418514467
E,04-05,3,1,1.441050291,1.379528007
E,04-05,4,1,1.696233327,1.835772476
E,04-05,5,1,1.464566865,1.367961882
E,04-05,6,1,3.833083464,3.830065412
E,04-05,7,1,4.111401596,4.676899601
E,04-05,8,1,1.942717639,2.285463718
E,04-05,9,1,1.287989488,1.455950362
E,04-05,10,1,2.282142205,2.805175405
F,04-05,1,2,1.218682203,1.484245208
F,04-05,2,2,4.425260122,2.148238873
F,04-05,3,2,1.81404982,1.497745632
F,04-05,4,2,1.683274619,1.862278689
F,04-05,6,2,1.059784151,1.281216502
F,04-05,7,2,0.862920183,0.404267727
F,04-05,8,2,2.996749124,3.385552279
F,04-05,9,2,0.319643123,0.969861784
F,04-05,10,2,3.08259721,2.427715899
G,04-05,1,2,2.117463439,3.187907509
G,04-05,2,2,1.273856512,1.476733822
G,04-05,3,2,1.188110161,1.071999876
G,04-05,4,2,1.327860895,1.266090237
G,04-05,5,2,1.161770358,0.990636241
G,04-05,6,2,1.288370004,1.076863404
G,04-05,7,2,2.225049537,1.782792428
G,04-05,8,2,1.263749497,1.310081206
G,04-05,9,2,0.781534976,0.688324197
G,04-05,10,2,2.932551281,2.991142442
