ID,year_t,...1,Plot,TagID,Transplant,Year_t,Height_t,Width_t,Perp_t,NS_t,Goodbuds_t,TotFlowerbuds_t,ABFlowerbuds_t,Antcount_t,Year_t1,Newplant,Survival_t1,Height_t1,Width_t1,Perp_t1,FLAG,NS_t1,Goodbuds_t1,TotFlowerbuds_t1,ABFlowerbuds_t1,Antcount_t1,comments,Ant_sp_t,Ant_sp_t1,vol_t,vol_t1,plot
1.3,2013,2937,3,1,0,2013,107,111,85,137,4,NA,0,73,2014,0,1,120,140,133,,75,61,NA,0,52,NA,liom,liom,269032.3813,585349.3972,3
1.6,2012,2705,6,1,0,2012,133,116,86,32,27,NA,NA,23,2013,0,1,95,96,60,,35,18,NA,6,41,NA,crem,liom,355191.8688,151314.8102,6
2.6,2011,2060,6,2,0,2011,39,15,7,0,0,NA,NA,0,2012,0,1,42,37,21,,6,0,NA,NA,0,NA,vacant,vacant,1235.431311,9247.277976,6
3.2,2016,5342,2,3,0,2016,44,50,43,12,0,NA,0,5,2017,0,1,45,31,17,,0,0,NA,0,0,1 CV juv,liom,vacant,24907.33196,6785.840132,2
3.2,2011,1727,2,3,0,2011,89,55,55,0,0,NA,NA,0,2012,0,1,90,46,27,,23,0,NA,NA,1,NA,vacant,crem,70482.94018,31390.4011,2
3.4,2015,4752,4,3,0,2015,61,47,35,22,0,NA,0,15,2016,0,1,65,70,63,,20,2,NA,0,9,NA,liom,liom,26845.17102,75253.25228,4
4.2,2009,589,2,4,0,2009,97,51,31,0,0,NA,NA,0,2010,0,1,95,24,13,,0,0,NA,NA,NA,NA,vacant,vacant,42688.22278,8512.079845,2
4.8,2011,2195,8,4,0,2011,35,48,15,0,0,NA,NA,0,2012,0,1,8,17,6,,4,0,NA,NA,0,NA,vacant,vacant,9091.965489,276.9837523,8
5.2,2009,590,2,5,0,2009,42,25,16,0,0,NA,NA,0,2010,0,1,32,8,3,,0,0,NA,NA,NA,NA,vacant,vacant,4620.890094,253.4218074,2
6.6,2009,914,6,6,0,2009,53,53,11,2,0,NA,NA,NA,2010,0,1,45,17,13,,4,0,NA,NA,NA,NA,crem,vacant,14208.37637,2650.718801,6
6.8,2012,2842,8,6,0,2012,43,17,16,14,0,NA,NA,0,2013,0,1,37,54,26,,4,0,NA,0,0,NA,vacant,vacant,3064.819983,15498.52376,8
6.8,2017,6678,8,6,0,2017,45,23,15,1,0,NA,0,0,2018,0,1,19,10,5,,0,0,NA,0,0,barely alive,vacant,vacant,4252.931055,279.7980957,8
7.1,2010,995,1,7,0,2010,55,32,27,0,0,NA,NA,NA,2011,0,1,28,21,9,,0,0,NA,NA,0,NA,vacant,vacant,12530.70045,1649.336143,1
7.3,2016,5428,3,7,0,2016,129,130,124,65,81,NA,6,9,2017,0,1,136,155,148,,61,121,NA,3,45,NA,liom,liom,544710.54,817208.3598,3
7.4,2014,3987,4,7,0,2014,75,25,10,0,0,NA,0,0,2015,0,1,79,39,37,,2,0,NA,0,2,NA,vacant,liom,6013.204689,29865.02696,4
