"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Year_t1","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","comments","Ant_sp_t","Ant_sp_t1"
"1","T1","AD10",0,2004,89,72,72,10,1,1,0,0,2005,0,1,102,63,36,13,3,3,0,0,"","vacant","vacant"
"2","T1","AD11",0,2004,78,42,42,5,1,1,0,3,2005,0,1,93,34,29,3,3,3,0,27,"","liom","crem"
"3","T1","AD14",0,2004,99,126,126,14,9,9,0,45,2005,0,1,100,117,45,12,12,13,1,36,"","liom","liom"
"4","T1","AD15",0,2004,127,54,54,0,9,9,0,28,2005,0,1,105,49,27,3,2,2,0,4,"","liom","liom"
"5","T1","AD16",0,2004,93,115,115,6,10,10,0,19,2005,0,1,68,115,38,11,4,4,0,17,"","liom","liom"
"6","T1","AD17",0,2004,79,69,69,12,7,11,4,2,2005,0,1,95,62,49,11,18,18,0,49,"","liom","crem"
"7","T1","AD18",0,2004,111,61,61,7,6,6,0,0,2005,0,1,107,53,43,5,11,11,0,18,"","vacant","crem"
"8","T1","AD19",0,2004,94,67,67,3,19,21,2,41,2005,0,1,98,61,42,3,11,11,0,41,"","liom","liom"
"9","T1","AD20",0,2004,120,60,60,5,26,27,1,18,2005,0,1,125,81,34,12,2,7,5,8,"","liom","liom"
"10","T1","AD21",0,2004,110,100,100,9,3,4,1,0,2005,0,1,117,119,56,19,6,6,0,25,"","vacant","liom"
"11","T1","AD22",0,2004,73,35,35,6,3,3,0,27,2005,0,1,84,45,34,6,6,6,0,3,"","liom","liom"
"12","T1","AD23",0,2004,85,82,82,20,14,14,0,8,2005,0,1,107,93,72,7,31,31,0,29,"","liom","liom"
"13","T1","AD27",0,2004,120,44,44,10,3,6,3,0,2005,0,1,132,63,52,7,23,25,2,0,"","vacant","vacant"
"14","T1","AD28",0,2004,90,62,62,8,1,1,0,39,2005,0,1,96,70,43,6,5,5,0,23,"","liom","crem"
"15","T1","AD29",0,2004,150,130,130,10,22,22,0,47,2005,0,1,54,141,61,26,26,27,1,8,"","liom","camp"
"16","T1","AD3",0,2004,90,74,74,8,7,7,0,0,2005,0,1,95,59,50,6,9,13,4,33,"","vacant","crem"
"17","T1","AD4",0,2004,99,94,94,6,17,18,1,0,2005,0,1,103,98,29,15,17,18,1,4,"","vacant","other"
"18","T1","AD6",0,2004,92,58,58,7,8,8,0,26,2005,0,1,78,84,54,16,1,1,0,36,"","liom","liom"
"19","T1","AD8",0,2004,172,124,124,13,20,20,0,7,2005,0,1,174,82,79,14,21,21,0,55,"","liom","liom"
"20","T1","AD9",0,2004,84,88,88,3,12,12,0,0,2005,0,1,87,63,31,8,6,6,0,0,"","vacant","vacant"
"21","T1","LJ11",0,2004,56,25,25,6,0,0,NA,16,2005,0,1,58,39,28,4,0,0,NA,18,"","crem","crem"
"22","T1","LJ12",0,2004,73,66,66,12,0,0,NA,13,2005,0,1,76,72,31,9,0,0,NA,23,"","liom","crem"
"23","T1","LJ13",0,2004,64,28,28,7,0,0,NA,27,2005,0,1,73,37,22,5,0,0,NA,0,"","crem","vacant"
"24","T1","LJ14",0,2004,63,62,62,7,0,0,NA,0,2005,0,1,66,40,29,7,1,1,0,0,"","vacant","vacant"
