Mortality,Site,Plot,Year,Ncol,Size,Sizenext,Survnext
Divemort,CapdeCreus,CapdeCreus1,2002-2003,1,20.5,20,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,1a,5,5,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,2,14.5,16,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,3,15,11,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,4,66,66,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,5,56,56,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,6,20,21,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,7,4.5,6,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,8,31.5,33,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,9,1,,0
Divemort,CapdeCreus,CapdeCreus1,2002-2003,10,53,53,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,11,4,,0
Divemort,CapdeCreus,CapdeCreus1,2002-2003,12,9,8,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,13,8,7.5,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,14,16,18,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,15,11,13.5,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,16,10,10.5,0
Divemort,CapdeCreus,CapdeCreus1,2002-2003,17,33.5,33.5,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,18,2.5,3.5,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,19,15.5,15.5,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,20,37,38,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,21,22.5,22,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,22,29,20,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,23,24,20,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,24,29,29,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,25,43,44,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,26,27,27.5,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,27,18,17,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,28,14,12,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,29,8.5,,0
Divemort,CapdeCreus,CapdeCreus1,2002-2003,30,10,10,0
Divemort,CapdeCreus,CapdeCreus1,2002-2003,31,30,30,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,32,15,20,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,33,10,11,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,34,4,,0
Divemort,CapdeCreus,CapdeCreus1,2002-2003,35,18,20,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,36,5,,0
Divemort,CapdeCreus,CapdeCreus1,2002-2003,37,2,3,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,37a,,1,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,38,23,27,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,38a,4,4,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,38b,,1,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,39,4,4,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,40,4,5,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,41,10,11,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,42,25,27,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,43,13,9,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,44,5.5,,0
Divemort,CapdeCreus,CapdeCreus1,2002-2003,45,3.5,,0
Divemort,CapdeCreus,CapdeCreus1,2002-2003,46,38,33,0
Divemort,CapdeCreus,CapdeCreus1,2002-2003,46a,,1,1
Divemort,CapdeCreus,CapdeCreus1,2002-2003,47,12,,0
Divemort,CapdeCreus,CapdeCreus1,2002-2003,48,0.5,1,1
