Site,Fan.number,State.T1,Area.T1,State.T2,Area.T2,State.T3,Area.T3,State.T4,Area.T4,State.T5,Area.T5,Infected.T1,Infected.T2,Infected.T3,Infected.T4,Infected.T5,Lesion.T1,Lesion.T2,Lesion.T3,Lesion.T4,Lesion.T5
Half Moon,12,H,254.57,H,271.9,H,324.96,H,322.8,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,13,H,621.28,P,621.4,P,734,P,586.6,P,566.5,0,0,0,0,0,0,0,0,0,0
Half Moon,14,H,515.63,H,542.39,H,572.58,H,590.9,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,15,P,405.48,NA,NA,P,464.55,P,391.4,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,67,H,414.8,I,451.76,H,621.287,H,407.6,P,354.2,0,4.363,0.565,0,0,0,4.037,0,0,0
Half Moon,68,I,812,NA,NA,NA,NA,I,1169.6,I,880.7,39.3,0,0,21.864,29.073,39.3,0,0,21.864,29.073
Half Moon,70,P,469.2,P,532.66,P,884.77,P,827.3,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,71,H,196.1,H,189.3,H,258.3,H,295.1,H,270.7,0,0,0,0,0,0,0,0,0,0
Half Moon,72,H,259.79,H,351.57,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,73,H,749.43,H,868.22,H,1107.87,H,949,H,862.8,0,0,0,0,0,0,0,0,0,0
Half Moon,78,H,488.18,H,639.69,NA,NA,H,617.9,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,79,H,1033.45,H,1039.57,P,1440.98,P,1161.8,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,80,H,296.3,I,411.04,H,608.94,H,505.7,NA,NA,0,18.19,0,0,0,0,18.19,0,0,0
Half Moon,82,NA,NA,NA,NA,NA,NA,I,2168.2,H,1977.6,0,0,0,13.27,0,0,0,0,13.27,0
Half Moon,86,H,2434.9,H,2616.05,H,2647.66,NA,NA,H,3132.9,0,0,0,0,0,0,0,0,0,0
Half Moon,87,NA,NA,NA,NA,NA,NA,I,280.4,D,NA,0,0,0,10.27,0,0,0,0,10.27,0
Half Moon,89,H,610.22,H,707.44,H,831.65,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,90,H,554.85,H,552.31,H,575.14,I,466.5,H,466.2,0,0,0,41.35,0,0,0,0,41.35,0
Half Moon,92,H,101.39,I,90.97,NA,NA,NA,NA,I,80,0,NA,0,0,NA,0,NA,0,0,NA
Half Moon,93,H,898.1,H,931.68,H,1504.44,I,1769,NA,NA,0,0,0,3.43,0,0,0,0,3.43,0
Half Moon,94,I,133.12,I,187.87,I,267.24,NA,NA,H,177.5,0.497,0.991,NA,0,0,0.497,0.991,NA,0,0
Half Moon,98,H,1638.5,H,2065.11,H,2705.23,H,2434.6,H,2179.7,0,0,0,0,0,0,0,0,0,0
Half Moon,99,H,471.27,H,565.82,H,701.95,H,488.1,H,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,100,H,62.8,NA,NA,H,160.52,NA,NA,H,233.1,0,0,0,0,0,0,0,0,0,0
Half Moon,102,P,344.26,I,413.46,I,495.807,I,444.5,NA,NA,0,16.16,6.547,26.072,0,0,16.16,6.547,26.072,0
Half Moon,103,P,1370.12,P,1395.75,I,597.54,NA,NA,NA,NA,2.54,0,NA,0,0,2.54,0,NA,0,0
Half Moon,104,H,73.46,H,88,H,132.64,H,208.9,H,286,0,0,0,0,0,0,0,0,0,0
Half Moon,106,H,501.69,H,514.63,NA,NA,I,575.2,H,618.1,0,0,0,1.05,0,0,0,0,1.05,0
Half Moon,107,P,960.15,P,NA,P,949.59,P,NA,NA,NA,0,0,0,0.81,0,0,0,0,0.81,0
Half Moon,108,H,677.63,P,784.03,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,110,NA,NA,H,555.72,H,610.99,P,857.5,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,111,H,546.93,H,563.38,H,730.87,H,817,H,723.9,0,0,0,0,0,0,0,0,0,0
Half Moon,112,H,62.64,H,57.68,H,58.16,H,55.4,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,113,H,251.73,H,344.05,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,114,H,184.3,H,219.56,H,323.03,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,116,H,315.77,I,409.82,H,435.66,H,NA,H,NA,0,4.396,0,0,0,0,4.396,0,0,0
Half Moon,117,H,1402.19,H,1351.77,H,1644.18,H,1340.9,H,1469.5,0,0,0,0,0,0,0,0,0,0
Half Moon,121,I,69.86,I,60.83,I,53.83,NA,NA,NA,NA,1.074,2.842,1.626,0,0,1.074,2.842,1.626,0,0
Half Moon,122,H,255.23,H,370.15,NA,NA,I,374.7,H,349.9,0,0,0,4.741,0,0,0,0,4.741,0
Half Moon,123,H,166.13,H,191.76,NA,NA,H,173.1,H,200,0,0,0,0,0,0,0,0,0,0
Half Moon,125,H,259.15,H,267.89,H,337.25,H,293,H,239.8,0,0,0,0,0,0,0,0,0,0
Half Moon,127,H,208.14,H,219.39,H,253.67,H,336.7,H,370.4,0,0,0,0,0,0,0,0,0,0
Half Moon,133,H,4.06,NA,NA,NA,NA,S,45.9,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,136,H,62,NA,NA,H,96.3,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,137,I,363.44,I,177.22,NA,NA,NA,NA,D,NA,NA,NA,0,0,0,NA,NA,0,0,0
Half Moon,138,P,281.11,P,356.71,NA,NA,S,413.6,NA,348.8,4.907,4.67,0,0.794,0,2.863,4.67,0,0,0
Half Moon,139,I,516.41,I,483.67,NA,543.48,I,524.3,NA,NA,22.189,24.307,0,48.917,0,0,0,0,0,0
Half Moon,140,H,278.32,H,289.53,H,324.19,H,320,H,267.9,0,0,0,0,0,0,0,0,0,0
Half Moon,142,I,1139.75,I,980.95,I,1126.43,I,740.03,I,301.7,16.455,21.303,89.047,333.246,68.783,16.455,21.303,32.294,3.954,0
Half Moon,145,H,372.77,H,439.82,H,595.04,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,146,H,591.55,I,769.01,I,662.05,NA,686.7,NA,795.4,36.783,39.034,141.745,0,0,0,0,0,0,0
Half Moon,147,H,116.16,H,107.92,H,151.575,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,150,H,66.5,NA,NA,H,130.58,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Half Moon,153,P,368.18,P,471.43,P,486.39,P,573.6,H,650.7,0,0,0,0,0,0,0,0,0,0
