"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","did.flower","transplant"
"1","FPS",1,0,0,"2",2013,95,180,123,0,23,1,2014,0,NA,1,96,164,127,0,244,1,6,60.3777783154725,550642.652357951,523464.734311746,-0.0506163921125431,23,0,244,0,23,244,TRUE,FALSE
"2","FPS",1,0,0,"5",2013,63,75,48,0,1,1,2014,0,NA,1,59,90,56,0,22,1,6,60.3777783154725,59376.1011528471,77848.6659559551,0.270874954135401,1,0,22,0,1,22,TRUE,FALSE
"3","FPS",1,0,0,"6",2013,37,33,19,0,0,1,2014,0,NA,1,36,39,24,0,0,1,6,60.3777783154725,6073.48399755247,8821.59217128014,0.373269961656558,0,0,0,0,0,0,FALSE,FALSE
"4","FPS",1,0,0,"3",2013,11,18,7,0,0,1,2014,0,NA,1,16,23,13,0,0,1,6,60.3777783154725,362.853951489621,1252.44827123113,1.23885511588062,0,0,0,0,0,0,FALSE,FALSE
"5","FPS",1,0,0,"8",2013,57,56,36,0,0,1,2014,0,NA,1,47,78,66,0,0,1,6,60.3777783154725,30083.8912507759,63343.932674331,0.744589273400267,0,0,0,0,0,0,FALSE,FALSE
"6","FPS",1,0,0,"9",2013,83,133,55,0,5,1,2014,0,NA,1,85,55,60,0,5,1,6,60.3777783154725,158950.189305315,73434.7282776614,-0.772193917305936,5,0,5,0,5,5,TRUE,FALSE
"7","FPS",1,0,0,"10",2013,62,32,16,0,0,1,2014,0,NA,1,54,46,36,0,7,1,6,60.3777783154725,8310.5597662962,23411.1484545511,1.03568537142488,0,0,7,0,0,7,TRUE,FALSE
"8","FPS",1,0,0,"7",2013,55,63,59,0,2,1,2014,0,NA,1,54,87,77,0,1,1,6,60.3777783154725,53520.9578447191,94704.8813387911,0.570692231542818,2,0,1,0,2,1,TRUE,FALSE
"9","FPS",1,0,0,"3",2016,16,29,24,0,0,1,2017,0,NA,1,16,29,21,0,0,1,6,60.3777783154725,2915.39798253133,2550.97323471491,-0.133531392624523,0,0,0,0,0,0,FALSE,FALSE
"10","FPS",1,0,0,"4",2016,59,77,53,28,68,1,2017,0,NA,1,58,59,47,5,25,0.5,6,60.3777783154725,63035.7947948914,42106.2427372884,-0.403506723149327,68,28,50,10,96,60,TRUE,FALSE
