"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant"
"1","FPS",1,0,0,"4",2013,38,51,21,0,0,1,2014,0,NA,"1",41,71,47,0,0,1,6,624468.770720372,10654.7114846498,35818.6068405162,1.21246531528155,0,0,0,0,0,0,NA,0,FALSE
"2","FPS",1,0,0,"3",2013,11,18,7,0,0,1,2014,0,NA,"1",16,23,13,0,0,1,6,624468.770720372,362.853951489621,1252.44827123113,1.23885511588062,0,0,0,0,0,0,NA,0,FALSE
"3","FPS",1,0,0,"8",2013,57,56,36,0,0,1,2014,0,NA,"1",47,78,66,0,0,1,6,624468.770720372,30083.8912507759,63343.932674331,0.744589273400267,0,0,0,0,0,0,NA,0,FALSE
"4","FPS",1,0,0,"9",2013,83,133,55,0,5,1,2014,0,NA,"1",85,55,60,0,5,1,6,624468.770720372,158950.189305315,73434.7282776614,-0.772193917305936,5,0,5,0,5,5,1.6094379124341,1,FALSE
"5","FPS",1,0,0,"2",2013,95,180,123,0,23,1,2014,0,NA,"1",96,164,127,0,244,1,6,624468.770720372,550642.652357951,523464.734311746,-0.0506163921125431,23,0,244,0,23,244,5.4971682252932,1,FALSE
"6","FPS",1,0,0,"8",2015,56,80,65,2,0,1,2016,0,NA,"1",56,91,75,12,160,1,6,624468.770720372,76235.9817271123,100059.726016835,0.271933715483641,0,2,160,12,2,172,5.14749447681345,1,FALSE
"7","FPS",1,0,0,"1",2016,58,69,51,5,103,1,2017,0,NA,"1",57,72,55,0,3,1,6,624468.770720372,53433.778648582,59093.357814024,0.100675424215073,103,5,3,0,108,3,1.09861228866811,1,FALSE
"8","FPS",1,0,0,"2",2016,94,185,143,85,263,0.5,2017,0,NA,"1",95,189,144,12,31,0.25,6,624468.770720372,651034.863597291,676887.553142457,0.0389419686279471,526,170,124,48,696,172,5.14749447681345,1,FALSE
"9","FPS",1,0,0,"3",2016,16,29,24,0,0,1,2017,0,NA,"1",16,29,21,0,0,1,6,624468.770720372,2915.39798253133,2550.97323471491,-0.133531392624523,0,0,0,0,0,0,NA,0,FALSE
"10","FPS",1,0,0,"4",2016,59,77,53,28,68,1,2017,0,NA,"1",58,59,47,5,25,0.5,6,624468.770720372,63035.7947948914,42106.2427372884,-0.403506723149327,68,28,50,10,96,60,4.0943445622221,1,FALSE
"11","FPS",1,0,0,"5",2016,68,94,72,16,354,1,2017,0,NA,"1",57,98,93,13,43,0.25,6,624468.770720372,120486.361450476,136004.258362883,0.121149633196211,354,16,172,52,370,224,5.41164605185504,1,FALSE
"12","FPS",1,0,0,"6",2016,48,48,28,9,47,1,2017,0,NA,"1",47,36,20,16,43,1,6,624468.770720372,16889.2021056987,8859.29128312322,-0.645207718270825,47,9,43,16,56,59,4.07753744390572,1,FALSE
"13","FPS",1,0,0,"5",2013,63,75,48,0,1,1,2014,0,NA,"1",59,90,56,0,22,1,6,624468.770720372,59376.1011528471,77848.6659559551,0.270874954135401,1,0,22,0,1,22,3.09104245335832,1,FALSE
"14","FPS",1,0,0,"8",2016,56,91,75,12,160,1,2017,0,NA,"1",64,80,86,23,110,0.5,6,624468.770720372,100059.726016835,115275.506435721,0.141557703498751,160,12,220,46,172,266,5.5834963087817,1,FALSE
"15","FPS",1,0,0,"7",2013,55,63,59,0,2,1,2014,0,NA,"1",54,87,77,0,1,1,6,624468.770720372,53520.9578447191,94704.8813387911,0.570692231542818,2,0,1,0,2,1,0,1,FALSE
"16","FPS",1,0,0,"10",2016,64,61,42,19,202,1,2017,0,NA,"1",69,78,48,3,20,1,6,624468.770720372,42926.7220186509,67632.2066464811,0.454589776378389,202,19,20,3,221,23,3.13549421592915,1,FALSE
"17","FPS",1,0,0,"5",2015,NA,NA,NA,NA,NA,NA,2016,0,NA,"1",68,94,72,16,354,1,6,624468.770720372,NA,120486.361450476,NA,NA,NA,354,16,NA,370,5.91350300563827,1,FALSE
"18","FPS",1,0,0,"10",2013,62,32,16,0,0,1,2014,0,NA,"1",54,46,36,0,7,1,6,624468.770720372,8310.5597662962,23411.1484545511,1.03568537142488,0,0,7,0,0,7,1.94591014905531,1,FALSE
"19","FPS",1,0,0,"3",2014,16,23,13,0,0,1,2015,0,NA,"1",16,26,17,0,0,1,6,624468.770720372,1252.44827123113,1851.44527051558,0.390866308687012,0,0,0,0,0,0,NA,0,FALSE
"20","FPS",1,0,0,"9",2015,84,56,42,3,0,1,2016,0,NA,"1",78,60,52,11,176,1,6,624468.770720372,51723.1814487024,63711.499014801,0.20845899963129,0,3,176,11,3,187,5.23110861685459,1,FALSE
"21","FPS",1,0,0,"1",2014,60,61,43,0,0,1,2015,0,NA,"1",56,68,44,3,4,1,6,624468.770720372,41201.9876518301,43865.0110245231,0.0626304877405417,0,0,4,3,0,7,1.94591014905531,1,FALSE
"22","FPS",1,0,0,"2",2014,96,164,127,0,244,1,2015,0,NA,"1",92,162,127,49,61,1,6,624468.770720372,523464.734311746,495535.975621332,-0.0548297070106116,244,0,61,49,244,110,4.70048036579242,1,FALSE
"23","FPS",1,0,0,"1",2015,56,68,44,3,4,1,2016,0,NA,"1",58,69,51,5,103,1,6,624468.770720372,43865.0110245231,53433.778648582,0.197326118038488,4,3,103,5,7,108,4.68213122712422,1,FALSE
"24","FPS",1,0,0,"4",2014,41,71,47,0,0,1,2015,0,NA,"1",52,48,34,0,0,1,6,624468.770720372,35818.6068405162,22217.343246187,-0.477594291350202,0,0,0,0,0,0,NA,0,FALSE
"25","FPS",1,0,0,"6",2014,36,39,24,0,0,1,2015,0,NA,"1",47,44,33,11,2,1,6,624468.770720372,8821.59217128014,17866.2374209651,0.705710382161097,0,0,2,11,0,13,2.56494935746154,1,FALSE
"26","FPS",1,0,0,"7",2016,68,90,87,10,107,1,2017,0,NA,"1",74,97,89,1,24,0.25,6,624468.770720372,139392.466039779,167248.444500384,0.182186947278737,107,10,96,4,117,100,4.60517018598809,1,FALSE
"27","FPS",1,0,0,"7",2015,67,87,85,4,0,1,2016,0,NA,"1",68,90,87,10,107,1,6,624468.770720372,129712.433675906,139392.466039779,0.0719734996250896,0,4,107,10,4,117,4.76217393479776,1,FALSE
"28","FPS",1,0,0,"9",2016,78,60,52,11,176,1,2017,0,NA,"1",59,67,54,4,84,0.5,6,624468.770720372,63711.499014801,55884.220918382,-0.131082997632161,176,11,168,8,187,176,5.17048399503815,1,FALSE
"29","FPS",1,0,0,"3",2015,16,26,17,0,0,1,2016,0,NA,"1",16,29,24,0,0,1,6,624468.770720372,1851.44527051558,2915.39798253133,0.454039778256721,0,0,0,0,0,0,NA,0,FALSE
"30","FPS",1,0,0,"9",2014,85,55,60,0,5,1,2015,0,NA,"1",84,56,42,3,0,1,6,624468.770720372,73434.7282776614,51723.1814487024,-0.350490896083057,5,0,0,3,5,3,1.09861228866811,1,FALSE
"31","FPS",1,0,0,"7",2014,54,87,77,0,1,1,2015,0,NA,"1",67,87,85,4,0,1,6,624468.770720372,94704.8813387911,129712.433675906,0.314554407463325,1,0,0,4,1,4,1.38629436111989,1,FALSE
