"species","quad","year","genetID","allcov.0.2","allcov.2.4","allcov.4.6","allcov.6.8","allcov.8.10","allcov.10.12","allcov.12.14","allcov.14.16","allcov.16.18","allcov.18.20","allcov.20.25","allcov.25.30","allcov.30.35","allcov.35.40","allcov.40.45","allcov.45.50","allcov.50.60","allcov.60.70","allcov.70.80","allcov.80.90","allcov.90.100","allcov.100.110","allcov.110.120","allcov.120.130","allcov.130.140","allcov.140.150","allpts.0.2","allpts.2.4","allpts.4.6","allpts.6.8","allpts.8.10","allpts.10.12","allpts.12.14","allpts.14.16","allpts.16.18","allpts.18.20","allpts.20.25","allpts.25.30","allpts.30.35","allpts.35.40","allpts.40.45","allpts.45.50","allpts.50.60","allpts.60.70","allpts.70.80","allpts.80.90","allpts.90.100","allpts.100.110","allpts.110.120","allpts.120.130","allpts.130.140","allpts.140.150","propQ.0.2","propQ.2.4","propQ.4.6","propQ.6.8","propQ.8.10","propQ.10.12","propQ.12.14","propQ.14.16","propQ.16.18","propQ.18.20","propQ.20.25","propQ.25.30","propQ.30.35","propQ.35.40","propQ.40.45","propQ.45.50","propQ.50.60","propQ.60.70","propQ.70.80","propQ.80.90","propQ.90.100","propQ.100.110","propQ.110.120","propQ.120.130","propQ.130.140","propQ.140.150"
"ARTR","Q1",2012,1,12.5643036193191,37.6929108997019,62.8215181493557,87.9501254537159,111.200669473296,122.67828042361,143.726002588835,171.10198277369,188.651232910841,187.858942720166,518.204785246314,659.096531816688,697.030711493278,585.212600456574,520.088354558364,469.128586051545,710.320683178427,127.222985615595,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,3,4,6,3,15,6,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.999878994948711,0.973043835710517,0.935454596428793,0.878879706554248,0.759173996719446,0.625486027947265,0.495542981338209,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",2012,2,1.19983341926535,17.3985289039689,34.409308702867,47.0769583426606,50.7578563417972,59.0827305289014,65.5676835993584,74.3243741553151,89.991774300536,104.447189001413,380.284059345124,370.279561014854,383.020335964702,323.344582644422,259.314527538121,282.133629485583,616.113878245056,746.884921060085,774.65470216023,633.048663337949,99.2161093371078,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3,4,7,6,6,5,6,6,2,0,1,0,0,0,0,0,1,1,1,1,1,1,0.999767227575337,0.97253045163443,0.937601494746172,0.904242831037658,0.835307614434988,0.784524580408613,0.746442307641619,0.717069846939591,0.693814984457095,0.671492279023623,0.583006718821762,0.502690096707141,0.439387109282167,0.383800678430606,0.318357121438068,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",2014,1,12.5643036193192,37.692910899702,62.8215181493556,84.3461385046613,102.671284438762,124.894999347075,135.89497967168,138.108204583355,134.400047019697,132.055156468342,355.875959391216,442.193005976327,503.76251087654,309.441225932188,231.313477616179,370.191747397223,796.884854994261,232.691831567099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,5,5,5,8,4,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.974063195489309,0.931005911949217,0.871161494731536,0.755491460326695,0.624602958732301,0.495002516066019,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",2014,2,12.5643036193191,37.6929108997019,62.2996209956993,71.9615838962427,79.2758439223226,84.2959181460118,91.021476319609,97.2743599777594,97.3246261798879,116.60562883696,305.248075028168,320.651922324912,323.609935429053,278.997994686699,236.124766858776,282.314743310796,543.971919487193,262.748989379507,513.384785568041,339.656772786065,50.7779788002608,0,0,0,0,0,0,0,0,0,2,2,1,0,2,1,2,1,6,2,5,4,6,3,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.998671260281339,0.973595091894092,0.942678648645477,0.872239322006302,0.817762511643651,0.776131182771189,0.743706312749711,0.717885367562246,0.692386399444602,0.598798591779906,0.514326659492745,0.448308274026736,0.38674611203474,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455476,0.141494334262925
"ARTR","Q1",2015,1,0,0,0.532118587594598,5.94714605631929,28.3439960837033,42.4469283112879,56.867145414504,60.6928680387983,65.1711607053546,66.5805477707365,140.912835002879,158.789521412464,179.473601569215,105.548814300796,177.071959836025,256.30467009041,527.95553374864,78.357017154919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,5,4,6,9,4,10,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990199431744443,0.949858608061134,0.890432719604297,0.773523115319406,0.630947032420262,0.496026432736531,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",2015,2,0.528617696652324,10.4617517824709,15.4189036411723,23.6577301178489,34.1694701946483,45.0499682374628,59.5499478164568,67.7595599586082,51.4071039570447,41.0530378982871,89.4017202943093,54.7335912156786,83.3678893186408,117.117870664857,57.8678422839057,29.4677636750339,61.3524637754697,159.367158432296,505.670777121221,366.528646425577,77.064049576006,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,2,1,7,5,3,5,10,5,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0.978460845614695,0.944519707458171,0.911342065530171,0.841916548756059,0.790409649146964,0.751672681398913,0.721748610587546,0.698035496692079,0.677190079493649,0.586009834784173,0.504842406851666,0.441016619401898,0.384418811804563,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",2016,2,0,0,0,0,0,12.9826089153341,30.352355029752,41.6656582834298,56.1387074011282,66.2881399670048,186.445226525206,168.10810372935,144.260098973393,191.569869886641,222.105353854335,142.359135714341,215.157746831139,403.178571185883,717.73974346382,650.43878877389,100.307713678434,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,3,0,6,2,3,2,6,8,3,2,2,0,0,0,0,0,1,1,1,1,1,1,0.98701331616463,0.950426910700146,0.913534366600507,0.880140820584442,0.813365689543717,0.765141497978699,0.729285748323466,0.701757605690295,0.680024379724996,0.650643967800714,0.572307299991777,0.495233299199443,0.433814688984004,0.3814292439031,0.318150488068603,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455476,0.141494334262925
"ARTR","Q19",2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52354164112107,66.5772039112749,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,0,5,2,2,2,2,2,10,13,19,8,6,2,1,0,0,0,1,1,0.940370004856718,0.850142304232392,0.786859446460263,0.741997103319012,0.708921681165527,0.68364670682879,0.663749903024934,0.647700453091301,0.611088710276842,0.559308502293212,0.517566369831463,0.484828607522204,0.458826219810578,0.437801976135593,0.406059078466084,0.383336163075782,0.362767472865637,0.333573864552997,0.30028133502819,0.258882908376475,0.220972670215044,0.188380030821795,0.162429720455476,0.141494334262925
"ARTR","Q19",2007,2,0,0,0,0,0,0,0,0,0,0,0,0,10.8775027512097,30.8137438801617,30.300968728958,0.108530192066652,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,1,4,6,6,9,7,6,9,11,6,10,1,0,0,0,0,0,1,1,1,1,1,1,1,0.997299838604716,0.970710541109837,0.93940793420103,0.868963099792251,0.814775818735962,0.77344717796348,0.741290028545888,0.715697286563226,0.686333615058314,0.596650125565758,0.512914379717212,0.447283479176148,0.38636963861354,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q19",2007,3,0,0,0,0,0,0,0,0,0,0,0,5.43344136271975,35.0167514759142,28.5632581697854,3.08729454397667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,1,3,5,5,5,4,3,2,10,9,7,12,10,0,0,0,0,0,1,1,1,1,1,1,0.973312056213925,0.933571522355635,0.896203092714279,0.863192290393614,0.798299386915414,0.75195388924059,0.717667627497773,0.691416790520363,0.65320795679918,0.615255725323565,0.554435610850931,0.485512563597972,0.427282637052938,0.377830619013822,0.317030788118689,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
