"","area.t0","area.t1","logarea.t0","logarea.t1","year","Group","W.ARTR","W.HECO","W.POSE","W.PSSP","W.allcov","W.allpts","Treatment"
"2",0.25,7.95739863284251,-1.38629436111989,2.07410214152464,2014,"E1",0,5.31299181176928,0.0900442231620034,0.00096852539791351,59.5194952032932,0.04186,"Control"
"171",0.25,3.308664078756,-1.38629436111989,1.19654450633564,2012,"P10E1",1.31210680461283,0,1.93936426312459,0.00817841220900247,1.58975823251974,2.46745,"Control"
"1",27.524940915213,19.0915666706585,3.31509253602017,2.94924670197944,2014,"E1",3.82129883291782e-16,1.17378758355601e-05,0.000425349017602348,0.0280567947518445,62.5007514606768,6e-05,"Control"
"110",30.230766840517,36.916680871136,3.40886017534085,3.60866350502824,2009,"P10E1",0.128690928338608,0.000165,1.47849637895627,0.0229077867115247,3.53309501053907e-05,0.15639,"Control"
"44",31.9008,47.086499552461,3.46263108784625,3.85198632622937,2008,"E1",0.469150337433904,0,0.011648663333427,0.00146749627239572,0.201375448834437,0.11013,"Control"
"115",32.9839375041685,38.3199229557435,3.49602070067107,3.64596994255115,2013,"P10E1",0.0201960079795789,0.000527607593794577,0.0209992782345009,3.31644097261919,0.0108335283127479,0.01725,"Control"
"114",34.177996449196,30.507900798075,3.5315820583332,3.41798569262747,2012,"P10E1",0.142213534440959,0.02603674441019,6.98304349810454,0.00921591622684683,0.001348332337229,0.52054,"Control"
"108",42.9217325650295,44.243829362434,3.75937828425972,3.78971591229344,2008,"P10E1",0.0407904625366351,0.143144490642667,0.0200967261279217,0.680756860932132,0,0.01819,"Control"
"109",44.243829362434,50.430193556636,3.78971591229344,3.92059007420611,2009,"P10E1",0.0891807621795256,0,0.020676997386039,1.3557448379668,0.00673028836165703,0.03792,"Control"
"73",46.194649958937,68.555127601394,3.83286398962754,4.22763820410649,2013,"E1",0.0786330918423341,0,0.725037708032504,0.709140443359707,0.0191687266189435,0.3854,"Control"
"50",47.086499552461,69.880447555172,3.85198632622937,4.24678588987002,2009,"E1",0.715081460711684,0,1.90420967403485,6.10035e-06,0.457977918427983,0.09527,"Control"
"26",47.4408525082445,171.556114522579,3.85948372476925,5.14491041147066,2013,"P7E1",0,0.0628064358941736,0.408468717770737,0.00291216078391444,0.0014312330684213,0.44511,"Control"
"172",48.074536958949,46.469467756955,3.87275265978933,3.83879548955497,2013,"P10E1",0,0,7.94792456903931,0.0215435619334537,0.0189613419568675,3.58907,"Control"
"106",49.0939867034461,207.415739058855,3.89373655690212,5.33472518037444,2015,"P7E1",0,0,0.0944375,0,1.54369835567342,0.00143,"Control"
"111",50.430193556636,56.4945145976625,3.92059007420611,4.03414354667213,2010,"P10E1",0.107838955677102,0.0237073787377299,0.051056072593964,1.71123350647141,7.67422301330055e-05,0.14807,"Control"
"112",56.4945145976625,73.9901560756565,4.03414354667213,4.30393205835078,2011,"P10E1",0.0263492190209589,0.0051065531240981,0.0481483512228302,1.62032663770625,0.00135622894880575,0.13099,"Control"
