"","area.t0","area.t1","logarea.t0","logarea.t1","year","Group","age","W.ARTR","W.HECO","W.POSE","W.PSSP","W.allcov","W.allpts","Treatment"
"1474",0.249999999999986,1.63859077936207,-1.38629436111995,0.493836591565884,"1934","P2",5,1.2164110091549,0,0,0.0388923081333136,19.5830899578119,0.27835,"Control"
"2693",0.249999999999986,0.24999999999999,-1.38629436111995,-1.38629436111993,"1949","P7E1",4,56.6033118899975,0.0236123100588054,0.906041874340528,0.0651778243209991,1.14605534041625,0.06351,"Control"
"41",0.24999999999999,1.8590683797538,-1.38629436111993,0.620075491147172,"1939","E1",6,3.00283924898726,0.0007625,0.0205677372808379,0.0463357835027422,21.2778772980871,0.01571,"Control"
"233",0.24999999999999,8.74722798084437,-1.38629436111993,2.16873684798789,"1951","P1E1",22,0,5.47449307676108,0.285737044754619,0.19314661543034,0.637775306919808,0.18264,"Control"
"638",0.24999999999999,4.6306518493919,-1.38629436111993,1.53269764639401,"1946","P1",2,0.0505007978763696,0,3.06009313302143,0.20234949658547,0.0230203840457574,0.00726,"Control"
"639",0.24999999999999,0.24999999999999,-1.38629436111993,-1.38629436111993,"1946","P1",2,0,0,2.12137253131352,0.0175265039088625,0.0775709276439292,0.67164,"Control"
"666",0.24999999999999,1.43147707605871,-1.38629436111993,0.358706831497463,"1950","P1",6,0,0,0,0.0899003271197208,8.58824387627958,0.13644,"Control"
"674",0.24999999999999,0.24999999999999,-1.38629436111993,-1.38629436111993,"1950","P1",6,0,0,0.00432200654502096,0.678144469085967,5.97888377656034,0.18768,"Control"
"696",0.24999999999999,1.31392648611499,-1.38629436111993,0.273019971857309,"1951","P1",7,0,0,0.0521506331783186,1.09883380672898,14.2667334266542,0.06833,"Control"
"722",0.24999999999999,0.24999999999999,-1.38629436111993,-1.38629436111993,"1954","P1",10,0.00818,0,0.0945147805894483,0.972309411129594,0.340667809658821,0.08077,"Control"
"1037",0.24999999999999,0.24999999999999,-1.38629436111993,-1.38629436111993,"1945","P1",4,0,0,0.32477997644342,0.174755207259549,0.0419149284708608,1.00041,"Control"
"1051",0.24999999999999,2.17259152146847,-1.38629436111993,0.775920704528296,"1946","P1",5,0,0,1.5019934882719,0.144464164084259,0.0289631412787459,3e-05,"Control"
"1318",0.24999999999999,0.25,-1.38629436111993,-1.38629436111989,"1945","P1",4,0.875833372072583,0,0.00921004233378304,0.175188657384052,0.0755311935371974,0.07168,"Control"
"1643",0.24999999999999,0.24999999999999,-1.38629436111993,-1.38629436111993,"1937","P7E1",15,0.363795823746621,0,0.0858957360591403,0.438054067816988,0.1060464616722,0.83609,"Control"
"1654",0.24999999999999,0.24999999999999,-1.38629436111993,-1.38629436111993,"1938","P7E1",16,0.623749282888462,0,0.151038539426016,0.697415553558259,0.0333574601004712,0.62819,"Control"
"1657",0.24999999999999,0.25,-1.38629436111993,-1.38629436111989,"1938","P7E1",3,0.22278013236068,0,0.00180052807288149,1.04671438472773,0.0100543277914557,0.90918,"Control"
"1665",0.24999999999999,0.24999999999999,-1.38629436111993,-1.38629436111993,"1939","P7E1",17,0.362489603788839,0,0.0343151388186095,1.34555795332319,0.0207388614405705,0.44285,"Control"
"1674",0.24999999999999,0.24999999999999,-1.38629436111993,-1.38629436111993,"1940","P7E1",18,0.624813100566046,0,0.0526517134842803,0.781068808297087,0.0357988840672153,0.54063,"Control"
"1795",0.24999999999999,0.24999999999999,-1.38629436111993,-1.38629436111993,"1938","E1",3,44.6715639767567,0,0.00269162100492467,1.49901933861512,0.494379199182578,1.57142,"Control"
"1806",0.24999999999999,0.24999999999999,-1.38629436111993,-1.38629436111993,"1939","E1",4,22.5918965004858,0,0.144618243458132,0.627939597884192,0.45104762414693,1.01673,"Control"
"1816",0.24999999999999,0.24999999999999,-1.38629436111993,-1.38629436111993,"1940","E1",5,24.7719240018013,0,1.98593580087145,1.3263357046452,0.413982976347576,0.04461,"Control"
"1823",0.24999999999999,0.25,-1.38629436111993,-1.38629436111989,"1941","E1",6,24.7870077269717,0,3.18283771826692,0.660466671316925,0.0257943579671178,0.41611,"Control"
"2274",0.24999999999999,0.49999999999999,-1.38629436111993,-0.693147180559965,"1940","P7E1",11,64.0823747085239,0.0031075,0.0224326111509657,0.0817004630940542,0.0485796298033633,0,"Control"
