"species","quad","year","genetID","ARTR.0.2","ARTR.2.4","ARTR.4.6","ARTR.6.8","ARTR.8.10","ARTR.10.12","ARTR.12.14","ARTR.14.16","ARTR.16.18","ARTR.18.20","ARTR.20.25","ARTR.25.30","ARTR.30.35","ARTR.35.40","ARTR.40.45","ARTR.45.50","ARTR.50.60","ARTR.60.70","ARTR.70.80","ARTR.80.90","ARTR.90.100","ARTR.100.110","ARTR.110.120","ARTR.120.130","ARTR.130.140","ARTR.140.150","HECO.0.2","HECO.2.4","HECO.4.6","HECO.6.8","HECO.8.10","HECO.10.12","HECO.12.14","HECO.14.16","HECO.16.18","HECO.18.20","HECO.20.25","HECO.25.30","HECO.30.35","HECO.35.40","HECO.40.45","HECO.45.50","HECO.50.60","HECO.60.70","HECO.70.80","HECO.80.90","HECO.90.100","HECO.100.110","HECO.110.120","HECO.120.130","HECO.130.140","HECO.140.150","POSE.0.2","POSE.2.4","POSE.4.6","POSE.6.8","POSE.8.10","POSE.10.12","POSE.12.14","POSE.14.16","POSE.16.18","POSE.18.20","POSE.20.25","POSE.25.30","POSE.30.35","POSE.35.40","POSE.40.45","POSE.45.50","POSE.50.60","POSE.60.70","POSE.70.80","POSE.80.90","POSE.90.100","POSE.100.110","POSE.110.120","POSE.120.130","POSE.130.140","POSE.140.150","PSSP.0.2","PSSP.2.4","PSSP.4.6","PSSP.6.8","PSSP.8.10","PSSP.10.12","PSSP.12.14","PSSP.14.16","PSSP.16.18","PSSP.18.20","PSSP.20.25","PSSP.25.30","PSSP.30.35","PSSP.35.40","PSSP.40.45","PSSP.45.50","PSSP.50.60","PSSP.60.70","PSSP.70.80","PSSP.80.90","PSSP.90.100","PSSP.100.110","PSSP.110.120","PSSP.120.130","PSSP.130.140","PSSP.140.150","propQ.0.2","propQ.2.4","propQ.4.6","propQ.6.8","propQ.8.10","propQ.10.12","propQ.12.14","propQ.14.16","propQ.16.18","propQ.18.20","propQ.20.25","propQ.25.30","propQ.30.35","propQ.35.40","propQ.40.45","propQ.45.50","propQ.50.60","propQ.60.70","propQ.70.80","propQ.80.90","propQ.90.100","propQ.100.110","propQ.110.120","propQ.120.130","propQ.130.140","propQ.140.150"
"ARTR","Q1",2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42984064735482,15.5144578415222,0.16095185,35.392155413375,17.7993759688543,41.7671500620737,40.8410977471505,27.932586884321,55.9219991697549,0,0,0,0,0,0,0,0,0,0,0,0.5,3.08417221160368,7.99580854005211,2.9099644544957,0.236122901256973,4.18403770543746,10.511584495293,8.3243427094948,25.0284297661635,38.9608462756593,1.51654710388101,0,4.50521427574449,0.25,12.1449413439627,7.52337688487779,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48432991137591,7.91781975857582,10.3652060664918,23.4328514551976,7.62147318977448,5.66279266587654,5.66025675219015,8.2452815704513,1.23709399146131,34.6467492462727,19.4342624700363,18.0247570040682,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.999878994948711,0.973043835710517,0.935454596428793,0.878879706554248,0.759173996719446,0.625486027947265,0.495542981338209,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",2012,2,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011188704457577,0.238811295542423,0,0,0,0,7.72063931643555,30.2071643179686,20.0740298472985,9.02710985654453,2.52527080826601,18.6725560125717,24.7414818055515,15.3295681051542,28.2854636918444,47.8267305234124,32.099601299359,0,0,0,0,0,5.22528586740914,19.5998435765119,23.5367272294827,6.89306754480346,1.98660270696824,0,0,0,0,0,1.12834579102483,4.08094903587242,1.94572988127505,5.7499422069767,6.29262674830554,18.287835069656,12.530114780796,0.25,0,0.5,19.6683182288405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973848377412005,1,15.2141386349009,36.5404839403849,56.7264524687392,0.25,0,34.027950660335,0,0,0,0,0,0,1,1,1,1,1,1,0.999767227575337,0.97253045163443,0.937601494746172,0.904242831037658,0.835307614434988,0.784524580408613,0.746442307641619,0.717069846939591,0.693814984457095,0.671492279023623,0.583006718821762,0.502690096707141,0.439387109282167,0.383800678430606,0.318357121438068,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",2014,1,0,0,3.5527136788005e-15,0,0,0,0,0,0,0,0,0.24962897434251,0.00037102565748981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612534166869097,0.18874658331309,0.433855515736145,43.0944110581767,22.6199683040863,20.3172463752612,31.0984860398178,62.2347183430207,80.676678079068,25.7124886172891,26.5899212258271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2.26163392007826,14.6947959453062,0.25,10.0865565614351,13.5925569814085,5.31556195033346,0,0,0,13.01123311863,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,33.1994650919551,10.1860499851059,0.75,0.25,0.5,0,6.72954804392531,31.336138828483,42.6797967149397,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.974063195489309,0.931005911949217,0.871161494731536,0.755491460326695,0.624602958732301,0.495002516066019,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",2014,2,0,0,0,0,0,0,0,0,0,0,0,15.7936228748985,11.7313180403145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4714740692103,7.16612338481808,1.27923934374611,0,0,0,0.25,0,0,0,14.3489525597556,10.5128642808662,25.6610165341335,7.62263422207219,9.07898910357915,38.4253251564199,67.2263877587839,29.66023969205,69.10691986808,25.1761626238839,7.04144496088418,0,0,0,0,0,0,0,0.5,0.459809472808525,0.0401905271914745,0,0,0,0,0,0,0.25,3.13105337907285,21.6248442994246,9.9102637848316,10.5349438952324,0,0,0,5.83978184281523,7.17145127581477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249207203179306,0.000792796820694441,0,0.25,0,0.75,11.0948072152099,36.2608998666602,76.775291582539,0,0.25,0.5,0,0,0,0,0,0,1,1,1,1,1,1,1,0.998671260281339,0.973595091894092,0.942678648645477,0.872239322006302,0.817762511643651,0.776131182771189,0.743706312749711,0.717885367562246,0.692386399444602,0.598798591779906,0.514326659492745,0.448308274026736,0.38674611203474,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455476,0.141494334262925
"ARTR","Q1",2015,1,0,0,0,0,0,0,0,0,0,0,0,3.0746375802292,4.88276105261328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245317172338987,0.00468282766101272,0,0,0,0,0.25,2.11284449863085,21.2523520478906,7.15789689959501,8.32483096594863,55.5101837305345,42.1344408623497,41.1548480923518,44.9158462829401,7.98391034762278,0,0,0,0,0,0,0,0,0,0,3.71515871785202,5.36720256401336,2.95679420854012,0,0,3.14978923309294,5.00993504519848,6.11282100409908,2.3107606382885,11.3921527868917,8.4547089996828,8.79563153721401,0,4.62142346155149,0,16.033614338203,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15694263802413,3.87183599610914,1.37725511194223,13.1866977186823,19.6782087124273,0.25,1.44845389706272,0.717693125233779,5.60796037590874,39.7063661250048,25.5603230940753,7.7266813767517,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.990199431744443,0.949858608061134,0.890432719604297,0.773523115319406,0.630947032420262,0.496026432736531,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",2015,2,0,0,0,0,0,0,0,0,0,0,0,8.80227270281973,10.2892939678387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195607491617648,16.1919401053329,3.39866827751947,11.2085382338542,0.311856123096764,21.3759789588845,26.6249908973976,61.0539326616052,10.1292476444425,37.3732647965533,36.381108000179,6.80202053738094,0,0,0,0,0,0.0212424701008482,6.18327545158264,8.0017602421823,0.472877000915215,0.25,0,0,0,0,0,0.0831140933816883,11.9560413970238,0.319631845601123,14.6843854846762,3.57699815682174,10.9656835500955,1.77474466339545,0.25,1.92265135994411,9.9336624681269,7.77392435078002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.970309913079,3.63640929701827,6.66858764032071,22.0766641548679,29.5729072901246,34.8484886924446,0.227786430105397,0,22.2872647532615,0,0,0,0,0,0,1,1,1,1,1,1,1,0.978460845614695,0.944519707458171,0.911342065530171,0.841916548756059,0.790409649146964,0.751672681398913,0.721748610587546,0.698035496692079,0.677190079493649,0.586009834784173,0.504842406851666,0.441016619401898,0.384418811804563,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.266718883001907,28.3182598473892,18.6552501716369,12.4319069821922,4.87297295738228,12.3893501572575,15.9229983559152,84.5701977290372,54.6068507397601,45.8554759206505,27.1851591233327,50.9462253817343,0,0,0,0,0,0,4.8767399912482,15.8752660725575,5.41837429775549,0.0540513264652844,0,0,0,0,0,0,3.31387065046898,7.07853061386726,18.4740214602316,2.15734877354767,6.88375768391151,0.25,0,0,4.79004406150899,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37548966930265,24.1129122012328,13.8160636640324,33.5454603614042,5.33435201576808,2.25327311424401,21.2273225707015,0.325917771232497,0,0,0,0,0,1,1,1,1,1,1,0.98701331616463,0.950426910700146,0.913534366600507,0.880140820584442,0.813365689543717,0.765141497978699,0.729285748323466,0.701757605690295,0.680024379724996,0.650643967800714,0.572307299991777,0.495233299199443,0.433814688984004,0.3814292439031,0.318150488068603,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455476,0.141494334262925
"ARTR","Q19",2007,1,0,0,1.4210854715202e-14,0,0,0,0,0,0,0,0,0,0.25,0,0.0341136136939824,49.2142488109865,22.6351503943648,115.76356268916,161.573442071537,133.481841926692,165.307595592579,0,0,0,0,0,1.10024548040058,4.10969081110441,0,0,0,0,0,0,0,8.47435372841574,39.431001216666,49.2870394094022,57.8474822915778,26.5132960089672,50.5951481872002,51.4656923295863,24.7110568208259,201.746387334086,145.86455885088,66.1162486580386,124.94283791469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262960756044314,25.1944772152249,44.6341345159323,36.2954474132205,21.4046364369078,20.5296109850789,6.72588917804225,29.1770937827107,50.4796069329463,54.0943388854292,27.6785581577213,0,0,0,0,0,0,1,1,0.940370004856718,0.850142304232392,0.786859446460263,0.741997103319012,0.708921681165527,0.68364670682879,0.663749903024934,0.647700453091301,0.611088710276842,0.559308502293212,0.517566369831463,0.484828607522204,0.458826219810578,0.437801976135593,0.406059078466084,0.383336163075782,0.362767472865637,0.333573864552997,0.30028133502819,0.258882908376475,0.220972670215044,0.188380030821795,0.162429720455476,0.141494334262925
"ARTR","Q19",2007,2,0,0,0,1.4210854715202e-14,0,0,0,0,0.25,0,0,0,0,8.9242753809623,94.0056242757861,143.275299980477,39.5635607526146,99.3966198736193,175.988402925622,76.2315719778273,0,0,0,0,0,0,0,0,0,0,0,0.768314599538104,19.6478186522615,28.1595008591853,24.678174457844,23.8240470766278,122.243464746886,114.371223928788,38.6267299736519,0.461993963182351,36.2836772148821,80.8298634105432,142.880603153655,68.8316994275981,146.929478858446,3.66844871875162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.416620151993896,12.3079511145225,17.363994846675,9.54992738176396,0.260359183019133,1.82473490230379,46.3949204188999,36.8490826055849,23.6801896361545,6.14937625953351,8.18701748855051,9.03811874356501,5.58226688706534,49.5213391447714,41.6087103697682,43.3179272033762,4.17421792171081,0,0,0,0,0,1,1,1,1,1,1,1,0.997299838604716,0.970710541109837,0.93940793420103,0.868963099792251,0.814775818735962,0.77344717796348,0.741290028545888,0.715697286563226,0.686333615058314,0.596650125565758,0.512914379717212,0.447283479176148,0.38636963861354,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q19",2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7181896512938,201.7342457546,51.8541668265699,50.2599676396499,28.2086272038324,0,0,0,0,0,0,0,6.51943887211978,19.4235131357835,19.2338606721866,0.252909095447656,1.79445420967311,8.64829619639549,8.39277128844108,9.70545736643601,87.3408318094079,108.636072895326,42.4602838303094,105.744456838458,41.2456484421605,38.7216462554897,54.8168554524913,120.62994639733,156.170430675789,22.4681656085967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,5.27157825192765,11.2093746164884,19.4657804302752,11.2451586660534,0.49734761357486,0,5.27215057811255,4.56997739082644,5.60968539003508,16.0269940948155,17.0387461219176,1.00552324757825,5.84623461244244,44.603317193588,3.19196957859003,0,16.7251362321155,0,69.365585117495,79.5321951234225,0,0,0,0,0,0,1,1,1,1,1,1,0.973312056213925,0.933571522355635,0.896203092714279,0.863192290393614,0.798299386915414,0.75195388924059,0.717667627497773,0.691416790520363,0.65320795679918,0.615255725323565,0.554435610850931,0.485512563597972,0.427282637052938,0.377830619013822,0.317030788118689,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
