"ARTR","HECO","POSE","PSSP","midRings"
1,1,1,1,1
1,0.61989,0.37772,0.48531,3
0.10756,0.31155,0.13594,0.23739,5
0.03272,0.12791,0.04667,0.11707,7
0.03272,0.04347,0.0153,0.0582,9
0.00296,0.01243,0.00479,0.02915,11
0.00295,0.00305,0.00143,0.01469,13
0.00295,0.00066,0.00041,0.00744,15
0.00295,0.00013,0.00011,0.00378,17
0.00295,2e-05,3e-05,0.00192,19
0.00295,0,0,0.00058,22.5
0,0,0,1e-04,27.5
0,0,0,2e-05,32.5
0,0,0,0,37.5
0,0,0,0,42.5
0,0,0,0,47.5
0,0,0,0,55
0,0,0,0,65
0,0,0,0,75
0,0,0,0,85
0,0,0,0,95
0,0,0,0,105
0,0,0,0,115
0,0,0,0,125
0,0,0,0,135
0,0,0,0,145
