"","area.t0","area.t1","logarea.t0","logarea.t1","year","Group","W.ARTR","W.HECO","W.POSE","W.PSSP","W.allcov","W.allpts","Treatment"
"104",0.25,8.616626454,-1.38629436111989,2.15369364542824,"1937","P1E1",0.312437796130819,0.240586830468932,0.0340125,0.710749855081729,0.00411070547744342,0.87679,"Control"
"140",0.25,40.23069333,-1.38629436111989,3.69463021996681,"1932","P1",0.0007375,0,0,14.802160773175,0.162017861315697,0.062,"Control"
"141",0.25,5.483769439,-1.38629436111989,1.70179271832902,"1932","P1",0.0007375,0,0,0.434035065614954,6.38886280587159,0.03115,"Control"
"155",0.25,0.25,-1.38629436111989,-1.38629436111989,"1954","P1",0,0,0.00278250607577708,4.09534696198707,0.0546282091081128,0.48471,"Control"
"157",0.25,0.25,-1.38629436111989,-1.38629436111989,"1954","P1",0.00818,0,0.00980619410009567,0.1967127476967,1.40750184384946,1.1541,"Control"
"158",0.25,0.25,-1.38629436111989,-1.38629436111989,"1954","P1",0.00818,0,0.293592798354733,0.524007422581005,2.89191037864929,0.12762,"Control"
"160",0.25,0.25,-1.38629436111989,-1.38629436111989,"1955","P1",0.0151146211857916,0,0.733985723919595,0.647955649787915,0.179196591977077,0.59756,"Control"
"162",0.25,20.4917947,-1.38629436111989,3.02002454748295,"1956","P1",0,0,0.0339910759014574,7.30745310563811,1.20131910948562e-05,0.51372,"Control"
"168",0.25,54.08988405,-1.38629436111989,3.99064718223157,"1932","P1",0,0,1.77029806658854e-05,2.63999332672449,0,1.14114,"Control"
"215",0.25,10.96576995,-1.38629436111989,2.39477859828287,"1940","P1",0.502811009797401,0,6.24580936470603e-06,0.284770092005978,0.0802977792437368,0.51366,"Control"
"320",0.25,0.25,-1.38629436111989,-1.38629436111989,"1938","P7E1",0.0089175,0,0,8.06258014272412,0.00810454622015613,1.21568,"Control"
"322",0.25,0.25,-1.38629436111989,-1.38629436111989,"1939","P7E1",0.330783129491487,0,0.0245381173687059,5.50167805603267,0.0205970930880644,0.53581,"Control"
"324",0.25,5.39258837,-1.38629436111989,1.68502548672224,"1940","P7E1",0.496673838156629,0,0.0389490665134665,4.10888146435411,0.0513451165784677,0.925,"Control"
"382",0.25,2.171197102,-1.38629436111989,0.775278675351814,"1938","E1",0.71636668923518,0,0,0.0885118504063604,0.0438792596672793,0.45032,"Control"
"404",0.25,2.067821135,-1.38629436111989,0.726495461126056,"1946","E1",0.146384387348864,0,0.103718095503083,0.210502093157055,2.7847437617635,0.58228,"Control"
"465",0.25,0.25,-1.38629436111989,-1.38629436111989,"1945","P7E1",0.0413922809141675,0.0031075,0,0.881324313201661,7.34912912977733,1.81044,"Control"
"469",0.25,0.25,-1.38629436111989,-1.38629436111989,"1946","P7E1",0,0.0510325602191228,0,8.63151137373973,1.33046714573187,1.76935,"Control"
"513",0.25,0.25,-1.38629436111989,-1.38629436111989,"1940","P7E1",0.0856696809590591,0.0031125,0.000159952738326714,2.27349806312638,0,0.04667,"Control"
"516",0.25,0.25,-1.38629436111989,-1.38629436111989,"1941","P7E1",0.139131815932182,0.00931827078206322,0.000152967021615248,3.53716780131155,0,0,"Control"
"588",0.25,0.25,-1.38629436111989,-1.38629436111989,"1954","P7E1",0.189749467464849,11.1295288038186,0.0446427738108682,0.0233294306562974,0.199107018672114,0.57013,"Control"
"616",0.25,12.76914371,-1.38629436111989,2.5470316129802,"1937","P10E1",0,0.129731956372758,0.942737755117938,0.157547279663493,0.0775002772412039,0.12322,"Control"
"695",0.25,0.25,-1.38629436111989,-1.38629436111989,"1945","P10E1",0.621912557438293,0,8.51165488353173,0.0585344700460943,0.000230630511859505,0.06731,"Control"
"696",0.25,0.25,-1.38629436111989,-1.38629436111989,"1945","P10E1",0.224920933731362,0,0.100976226810931,0.0226826950002583,0.00145522790875314,0.44983,"Control"
"700",0.25,0.25,-1.38629436111989,-1.38629436111989,"1946","P10E1",0.0302226449216261,0,0.0516100761981453,0.0559157666822795,0.000454810464451341,0.58068,"Control"
"742",0.25,0.25,-1.38629436111989,-1.38629436111989,"1945","P10E1",0.111434746708045,0,0.0608120309616867,0.169967802167885,0.0824033343893577,0.21151,"Control"
"747",0.25,0.25,-1.38629436111989,-1.38629436111989,"1946","P10E1",0.0954774523002032,0,0.0425960522871528,0.213763967619347,0.0265668068668768,0.13253,"Control"
"759",0.25,0.25,-1.38629436111989,-1.38629436111989,"1954","P10E1",0.720782182156654,0,0.0044817639994447,10.98848738198,0.0236150016082486,0.4034,"Control"
"830",0.25,6.187266805,-1.38629436111989,1.82249343910379,"1949","E1",0,0,1.10893213400059,1.93894593304347,0.169931085242096,0.21415,"Control"
"931",0.25,0.25,-1.38629436111989,-1.38629436111989,"1946","E1",0.000281327915250005,0,0.042565821752651,0.00592736940332182,0.123368824967514,1.07053,"Control"
