YEAR,site,t0,t1,repro,survival
7-Jun,6,0.124236534,0.24397726,0.020699131,1
8-Jul,2,0.165108855,NA,0,0
8-Jul,2,0.189924441,NA,0,0
8-Jul,2,0.193917484,NA,0,0
7-Jun,8,0.224404338,NA,0,0
8-Jul,6,0.24397726,NA,0,0
8-Jul,2,0.260517482,0.295640784,0.04340499,1
8-Jul,2,0.282794026,0.300150581,0.0471165,1
7-Jun,2,0.292007318,0.282794026,0.048651533,1
9-Aug,2,0.295640784,0.72678574,0.049256907,1
9-Aug,2,0.300150581,0.278303955,0.050008287,1
6-May,8,0.308026182,0.374682575,0.051320446,1
8-Jul,5,0.312844026,NA,0,0
5-Apr,2,0.319643123,0.969861784,0.053255952,1
7-Jun,6,0.320799569,NA,0,0
8-Jul,5,0.326817845,NA,0,0
8-Jul,6,0.333672174,NA,0,0
6-May,5,0.335130956,0.4823183,0.05583639,1
6-May,5,0.338334475,0.371003118,0.056370131,1
6-May,6,0.340097223,0.320799569,0.056663823,1
6-May,8,0.347159563,0.447805591,0.057840485,1
9-Aug,5,0.354419249,0.148264923,0.059050026,1
6-May,5,0.355785394,0.372374277,0.05927764,1
8-Jul,6,0.356729075,NA,0,0
7-Jun,7,0.363184458,0.556478166,0.060510403,1
6-May,7,0.368072441,0.363184458,0.061324793,1
7-Jun,5,0.371003118,0.444597725,0.061813075,1
7-Jun,5,0.372374277,0.431781231,0.062041525,1
7-Jun,8,0.374682575,0.50947842,0.062426112,1
6-May,7,0.391388595,0.520446264,0.065209513,1
7-Jun,7,0.407209916,0.488557548,0.067845514,1
6-May,7,0.412099367,0.407209916,0.068660148,1
5-Apr,3,0.41222154,0.511862289,0.068680504,1
7-Jun,7,0.414427002,0.497699627,0.069047957,1
6-May,5,0.414439039,0.644027394,0.069049963,1
6-May,7,0.417641815,0.414427002,0.069583579,1
8-Jul,5,0.431781231,0.501185283,0.071939357,1
7-Jun,3,0.439870543,0.526824098,0.073287122,1
8-Jul,5,0.444597725,0.563129689,0.074074721,1
7-Jun,8,0.447805591,0.557830453,0.074609186,1
8-Jul,4,0.448072153,NA,0,0
9-Aug,7,0.454268274,0.282858384,0.075685938,1
6-May,6,0.456419618,0.702024371,0.076044375,1
7-Jun,2,0.464096005,NA,0,0
7-Jun,5,0.4823183,0.498697343,0.080359371,1
8-Jul,7,0.488557548,0.521002363,0.081398896,1
8-Jul,4,0.489191074,NA,0,0
6-May,7,0.490259703,0.617168963,0.081682494,1
6-May,7,0.490777586,0.522993708,0.081768778,1
7-Jun,5,0.494071266,NA,0,0
8-Jul,7,0.497699627,0.545991968,0.082922064,1
8-Jul,5,0.498697343,0.354419249,0.083088294,1
9-Aug,5,0.501185283,0.550057182,0.083502812,1
5-Apr,2,0.501406934,0.680022795,0.083539741,1
6-May,6,0.508530698,0.666211743,0.084726636,1
8-Jul,8,0.50947842,0.567785094,0.084884537,1
6-May,3,0.511862289,0.778859924,0.085281715,1
8-Jul,7,0.515724311,NA,0,0
7-Jun,7,0.520446264,0.529854026,0.086711897,1
9-Aug,7,0.521002363,0.60467959,0.086804549,1
7-Jun,7,0.522993708,0.917995816,0.087136328,1
8-Jul,2,0.525753037,0.615851501,0.087596062,1
8-Jul,3,0.526824098,NA,0,0
8-Jul,7,0.529854026,0.454268274,0.08827933,1
6-May,7,0.535197696,0.650242942,0.089169642,1
6-May,7,0.53579653,0.602945375,0.089269415,1
9-Aug,7,0.541960768,0.733860927,0.090296442,1
7-Jun,4,0.543001351,NA,0,0
9-Aug,7,0.545991968,0.620289649,0.090968083,1
8-Jul,7,0.556478166,0.541960768,0.092715196,1
7-Jun,7,0.557566178,0.515724311,0.09289647,1
8-Jul,8,0.557830453,0.566754005,0.092940501,1
6-May,7,0.55820423,0.557566178,0.093002776,1
9-Aug,5,0.563129689,0.710481801,0.09382341,1
9-Aug,8,0.566754005,0.541193331,0.09442726,1
9-Aug,8,0.567785094,0.857915476,0.09459905,1
7-Jun,5,0.577029914,0.622590951,0.096139336,1
6-May,7,0.589746147,0.667431641,0.098257996,1
7-Jun,8,0.592996997,0.745322263,0.098799622,1
6-May,5,0.595721655,0.494071266,0.099253579,1
7-Jun,7,0.602945375,0.622191547,0.100457128,1
9-Aug,2,0.615851501,0.614273146,0.102607426,1
7-Jun,7,0.617168963,NA,0,0
6-May,6,0.618016338,0.983479369,0.102968111,1
8-Jul,7,0.622191547,0.651997306,0.103663746,1
8-Jul,5,0.622590951,0.720192536,0.10373029,1
6-May,6,0.630996897,0.906801206,0.105130811,1
6-May,6,0.635638686,0.124236534,0.105904182,1
6-May,6,0.637311931,0.696404085,0.106182963,1
5-Apr,1,0.642870284,0.927848301,0.107109044,1
6-May,5,0.643859022,0.577029914,0.107273778,1
7-Jun,5,0.644027394,0.731148373,0.10730183,1
7-Jun,7,0.650242942,0.766091754,0.108337407,1
9-Aug,7,0.651997306,0.394980243,0.108629703,1
6-May,8,0.655950245,0.876713107,0.109288305,1
5-Apr,4,0.660711054,0.753777912,0.110081506,1
6-May,8,0.660828401,0.889832366,0.110101057,1
5-Apr,3,0.663986172,0.671168702,0.110627176,1
7-Jun,6,0.666211743,0.743362264,0.11099798,1
7-Jun,7,0.667431641,0.6962515,0.111201228,1
6-May,8,0.667913263,0.850045279,0.111281471,1
6-May,3,0.671168702,0.701057025,0.111823862,1
6-May,2,0.680022795,0.292007318,0.113299048,1
9-Aug,7,0.682153044,0.719970516,0.11365397,1
6-May,2,0.688324197,NA,0,0
