light,site,subsite,individual,end.year,end.number.leaves,end.av.leaf.length,end.av.leaf.width,end.av.leaf.area,end.total.leaf.area
L,L1,,71,2004,1,11.6,2.4,21.86548487,21.86548487
L,L1,,73,2004,1,9.5,1.3,9.699667318,9.699667318
L,L1,,74,2004,1,8.1,2.2,13.99579527,13.99579527
L,L1,,75,2004,1,7,1.1,6.047565858,6.047565858
L,L1,,76,2004,1,6.75,1.25,6.626797004,6.626797004
L,L1,,77,2004,1,5.3,1,4.162610266,4.162610266
L,L1,,78,2004,1,8.4,1.7,11.21548577,11.21548577
L,L1,,79,2004,1,8,1.7,10.68141502,10.68141502
L,L1,,80,2005,1,5.2,0.6,2.45044227,2.45044227
L,L1,,81,2005,1,11.1,2.1,18.30763119,18.30763119
L,L1,,84,2006,1,13.2,2,20.73451151,20.73451151
L,L1,,85,2006,1,5,0.8,3.141592654,3.141592654
L,L1,,87,2006,1,6.5,1.1,5.615596868,5.615596868
L,L1,,88,2006,1,7.5,1.1,6.479534848,6.479534848
L,L1,,89,2006,1,8,2.1,13.19468915,13.19468915
L,L1,,92,2007,1,6.3,0.8,3.958406744,3.958406744
L,L1,,93,2007,1,7.2,0.9,5.089380099,5.089380099
L,L1,,94,2007,1,7.3,1,5.733406593,5.733406593
L,L1,,95,2007,1,6,1.1,5.183627878,5.183627878
L,L1,,97,2007,1,6.5,1.1,5.615596868,5.615596868
L,L1,,98,2007,1,3.9,0.5,1.531526419,1.531526419
L,L1,,99,2007,1,3.6,0.4,1.130973355,1.130973355
L,L1,,100,2008,1,12.1,2.2,20.90729911,20.90729911
L,L1,,101,2008,1,10.4,1.4,11.43539726,11.43539726
L,L1,,103,2008,1,10.4,0.9,7.351326809,7.351326809
L,L1,,104,2008,1,11.3,0.9,7.987499322,7.987499322
L,L1,,105,2008,1,7.4,0.7,4.068362486,4.068362486
L,L1,,106,2008,1,8.3,0.6,3.911282854,3.911282854
L,L1,,107,2008,1,8.1,1.6,10.1787602,10.1787602
L,L1,,108,2008,1,7.7,0.8,4.838052687,4.838052687
L,L1,,109,2008,1,8.8,0.7,4.838052687,4.838052687
L,L1,,110,2008,1,7.8,0.7,4.288273972,4.288273972
L,L1,,111,2008,1,9.1,0.8,5.71769863,5.71769863
L,L1,,112,2008,1,8.8,0.5,3.455751919,3.455751919
L,L1,,113,2008,1,8.8,0.4,2.764601535,2.764601535
L,L1,,114,2008,1,5.6,0.6,2.638937829,2.638937829
L,L1,,115,2010,1,4.4,1.3,4.492477495,4.492477495
L,L1,,118,2010,1,7.5,2,11.78097245,11.78097245
L,L1,,120,2010,1,8.9,1.3,9.087056751,9.087056751
L,L1,,121,2010,1,13.2,1.8,18.66106036,18.66106036
L,L1,,123,2010,1,8.2,1.5,9.66039741,9.66039741
L,L1,,124,2010,1,10.3,1.4,11.32544152,11.32544152
L,L1,,125,2010,1,7.6,0.8,4.775220833,4.775220833
L,L1,,126,2010,1,12,1.1,10.36725576,10.36725576
L,L1,,127,2010,1,8,1,6.283185307,6.283185307
L,L1,,128,2010,1,10.4,0.9,7.351326809,7.351326809
L,L1,,129,2010,1,8.2,2.1,13.52455637,13.52455637
L,L1,,130,2010,1,6.5,0.7,3.573561643,3.573561643
L,L1,,132,2010,1,6.7,0.7,3.683517386,3.683517386
L,L1,,133,2010,1,21.4,2.6,43.69955381,43.69955381
L,L1,,134,2010,1,5.7,0.5,2.238384766,2.238384766
L,L1,,135,2010,1,9.8,0.8,6.157521601,6.157521601
L,L1,,136,2010,1,6.7,0.7,3.683517386,3.683517386
L,L1,,137,2010,1,16.8,2.7,35.62566069,35.62566069
L,L1,,138,2010,1,14,2,21.99114858,21.99114858
L,L2,,173,2005,1,12,2.3,21.67698931,21.67698931
L,L2,,175,2005,1,12,3,28.27433388,28.27433388
L,L2,,178,2005,1,7.6,0.9,5.372123438,5.372123438
L,L2,,181,2005,1,11.3,2,17.74999849,17.74999849
L,L2,,186,2005,1,12.1,2,19.00663555,19.00663555
L,L2,,191,2005,1,11.1,2,17.43583923,17.43583923
L,L2,,192,2005,1,9.3,2,14.60840584,14.60840584
L,L2,,193,2005,1,10.1,1.7,13.48528647,13.48528647
L,L2,,194,2005,1,12.5,2,19.63495408,19.63495408
L,L2,,196,2005,1,10.2,2,16.02212253,16.02212253
L,L2,,197,2005,1,11.5,1.6,14.45132621,14.45132621
L,L2,,202,2006,1,10.7,2.4,20.16902484,20.16902484
L,L2,,208,2006,1,9.8,2.2,16.9331844,16.9331844
L,L2,,210,2006,1,5,0.6,2.35619449,2.35619449
L,L2,,211,2006,1,11.6,0.8,7.288494956,7.288494956
L,L2,,212,2006,1,12.8,2.1,21.11150263,21.11150263
L,L2,,213,2007,1,8.4,1.4,9.236282402,9.236282402
L,L2,,217,2007,1,6.8,0.8,4.272566009,4.272566009
L,L2,,219,2007,1,10.2,1.8,14.41991028,14.41991028
L,L2,,220,2007,1,7.9,1.9,11.78882643,11.78882643
L,L2,,225,2007,1,6.4,1.8,9.047786842,9.047786842
L,L2,,229,2007,1,8,1.8,11.30973355,11.30973355
L,L2,,232,2007,1,8.3,1.8,11.73384856,11.73384856
L,L2,,233,2007,1,11.1,2.4,20.92300707,20.92300707
L,L2,,234,2007,1,10,2.7,21.20575041,21.20575041
L,L2,,235,2007,1,10.8,3.6,30.53628059,30.53628059
L,L2,,236,2007,1,8.8,0.8,5.52920307,5.52920307
L,L2,,243,2008,1,9.6,0.9,6.785840132,6.785840132
L,L2,,245,2008,1,8.3,1.5,9.778207134,9.778207134
