light,site,individual,begin.year,number.leaves,av.leaf.length,av.leaf.width,av.leaf.area,total.leaf.area,flowering,inflorescence.height,number.flowers,number.fruits,end.year,end.number.leaves,end.av.leaf.length,end.av.leaf.width,end.av.leaf.area,end.total.leaf.area,end.flowering,end.inflorescence.height,end.number.flowers,end.number.fruits,survival,dormant,comments
L,L1,92,2007,1,6.30,0.80,3.958,3.958,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,81,2008,1,9.10,1.30,9.291,9.291,0,NA,NA,NA,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,101,2008,1,10.40,1.40,11.435,11.435,0,NA,NA,NA,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,98,2009,1,4.10,0.50,1.610,1.610,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,99,2009,1,3.50,0.40,1.100,1.100,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,123,2010,1,8.20,1.50,9.660,9.660,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,146,2011,1,10.10,1.10,8.726,8.726,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,163,2012,1,1.50,0.20,0.236,0.236,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,166,2012,1,7.40,0.50,2.906,2.906,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,161,2007,1,9.10,2.30,16.438,16.438,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,197,2007,1,7.60,0.80,4.775,4.775,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,213,2007,1,8.40,1.40,9.236,9.236,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,75,2009,1,10.60,2.60,21.646,21.646,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,232,2009,1,11.10,2.10,18.308,18.308,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,292,2009,1,8.40,1.70,11.215,11.215,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,300,2010,1,2.60,0.50,1.021,1.021,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,342,2010,1,8.40,1.10,7.257,7.257,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,372,2010,1,4.00,0.40,1.257,1.257,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,378,2010,1,10.20,1.30,10.414,10.414,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,305,2011,1,6.20,1.10,5.356,5.356,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,357,2011,1,4.10,0.80,2.576,2.576,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,360,2011,1,5.10,0.80,3.204,3.204,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,380,2011,1,6.50,1.60,8.168,8.168,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,419,2011,1,6.70,1.40,7.367,7.367,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,434,2011,1,5.20,0.30,1.225,1.225,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,359,2012,1,10.10,2.10,16.658,16.658,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,364,2012,1,8.10,1.20,7.634,7.634,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,388,2012,1,5.10,0.90,3.605,3.605,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,421,2012,1,7.80,1.60,9.802,9.802,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,464,2012,1,8.30,1.00,6.519,6.519,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1a,38,2003,1,7.00,1.00,5.498,5.498,0,NA,NA,NA,2004,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1b,85,2007,1,12.50,2.00,19.635,19.635,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
