RowID,Year,Length,Eggs
1,1964,61,64487.5
2,1964,78,114204
3,1964,59,34965
4,1964,69,102870
5,1964,74,110410
6,1964,60,44450
7,1964,57,49640
8,1964,60,63855
9,1964,77,120056
10,1964,63,62008
11,1964,81,146334
12,1964,62,66178
13,1964,77,141754.5
14,1964,86,225517.5
15,1963,79,132345
16,1963,66,74650.5
17,1963,77,129900
18,1963,72,124510.5
19,1963,70,80411
20,1964,70,90000
21,1964,62,56948.5
22,1964,64,65306.5
23,1963,73,106238
24,1963,59,47571
25,1963,65,73640
26,1963,69,86295
27,1963,78,102753
28,1963,61,48535.5
29,1963,63,68715
30,1963,62,60775
31,1964,62,51182.5
32,1964,67,75449
33,1963,60,54054
34,1963,72,100035
35,1964,57,48790
36,1963,59,70626
37,1963,65,62964
38,1964,68,86304
39,1963,68,78864
40,1964,59,48843
41,1963,61,66174.5
42,1963,81,133699.5
43,1964,56,49700
44,1964,59,45874.5
45,1964,81,136000
46,1964,62,60207
47,1964,66,67093
48,1964,55,42151.5
49,1964,55,41356
50,1964,56,30380
51,1964,60,62646
52,1964,69,102980
53,1964,65,74448
54,1964,80,126636
55,1963,62,61184
56,1964,78,169332
57,1963,65,87906
58,1964,63,54862.5
59,1964,79,165536
60,1964,66,78942
61,1964,64,67987.5
62,1964,59,56180
63,1964,69,77625
64,1964,61,53910.5
65,1964,78,151613
66,1964,61,58987.5
67,1964,64,81984
68,1964,64,69825
69,1964,70,70128
70,1964,57,59830
71,1964,57,54560
72,1964,71,101106
73,1964,65,78621
74,1964,56,30753
75,1964,70,89112
76,1964,63,76545
77,1964,61,64932
78,1964,69,100012.5
79,1964,70,88360
80,1964,68,79550
81,1964,67,79242
82,1964,79,140175
83,1964,70,75627.5
84,1964,79,121535
85,1964,62,47300
86,1964,57,48786
87,1964,61,44719
88,1964,67,60076.5
89,1964,68,89250
90,1964,75,121636
91,1964,63,54390
92,1964,73,51049
93,1964,66,70614.5
94,1964,66,75723
95,1964,63,77644
96,1964,66,78234
97,1964,75,106802.5
98,1964,60,50986
99,1964,68,88687
100,1964,74,76547.5
101,1965,61,58481.5
102,1964,59,43025.5
103,1964,76,97636
104,1964,56,36670
105,1964,66,73990.5
106,1964,67,79336
107,1964,79,84831.5
108,1964,55,47436
109,1964,56,46060
110,1964,72,96748
111,1964,64,65000
112,1964,68,72555
113,1964,92,222615
114,1965,62,63175
115,1965,59,48688
116,1965,62,53300
117,1964,89,171097
118,1965,104,289850
119,1964,60,57235.5
120,1964,66,79473
121,1964,75,103970
122,1964,80,165467
123,1964,78,96890.5
124,1965,64,51798
125,1965,60,45499
126,1965,62,63189
127,1965,84,191541
128,1964,71,91908
129,1964,61,50715
130,1964,52,39600
131,1965,57,35340
132,1965,62,64008.5
133,1965,54,41428.5
134,1965,67,82082
135,1965,69,71630
136,1965,58,44080
137,1965,71,76650
138,1965,68,86184
139,1964,62,56942
140,1965,59,43193.5
141,1964,62,70400
142,1964,70,87398
143,1964,62,51277.5
144,1965,55,41710
145,1965,64,83627
146,1964,65,45632
147,1964,64,78430
148,1965,62,52487.5
149,1965,64,64759.5
150,1964,64,64736
151,1965,63,62962.5
152,1965,59,49000
153,1964,80,141764
154,1964,94,203688
155,1964,66,72446
156,1965,55,28421
157,1964,55,47460
158,1964,78,98490
159,1965,67,82336.5
160,1965,69,82992
161,1965,62,57316
162,1964,72,88270
163,1964,93,252895.5
164,1964,76,127452
165,1965,63,58240
166,1964,86,186120
167,1964,73,98968
168,1965,61,60450
169,1965,75,112816
170,1965,65,56941.5
171,1964,64,74437
172,1964,66,63992
173,1964,64,79310
174,1964,78,179960.5
175,1964,68,111639
176,1964,69,75548
177,1965,75,86240
178,1965,69,90004.5
179,1965,61,51057
180,1964,72,71562.5
181,1965,64,70149.5
182,1964,63,49717
183,1965,60,53464
184,1964,58,60996
185,1965,66,57528
186,1964,62,53690
187,1965,62,60720
188,1965,70,110262
189,1965,65,70110
190,1965,65,84075
191,1965,66,71504
192,1965,63,87526.5
193,1965,61,52200
194,1965,66,81510
195,1965,60,48504
196,1965,56,39762
197,1965,63,62652
198,1965,65,76601
199,1965,72,88567.5
200,1965,85,186795
201,1965,59,50871
202,1965,66,83656.5
203,1965,66,95711
204,1965,67,92092
205,1965,63,89392
206,1965,72,62370
207,1965,68,97755
208,1965,60,77760
209,1965,66,86494
210,1965,68,99025
211,1965,75,127759.5
212,1965,97,271816
213,1965,85,163461
214,1965,74,113850
215,1965,72,104139
216,1965,65,80487
217,1965,65,77265
218,1965,73,112564
219,1965,62,61500
220,1965,87,240833
221,1965,64,77555.5
222,1965,64,83628
223,1965,107,344520
224,1965,70,102448
225,1965,59,55555
226,1965,82,201356
227,1965,105,305326
228,1965,74,86182
229,1965,62,68536
230,1965,62,61466.5
231,1965,63,81774
232,1965,67,124740
233,1965,60,59405
234,1965,62,59976
235,1965,59,45936
236,1965,70,100768
237,1965,54,39627.5
238,1966,62,52143
239,1965,83,171072
240,1965,61,64894.5
241,1966,59,75978
242,1966,59,52299
243,1966,73,120620
244,1966,74,118791
245,1966,70,105108.5
246,1965,98,151657.5
247,1965,87,168033
248,1965,65,80797.5
249,1966,59,54425.5
250,1966,57,62608
251,1966,61,80513.5
252,1966,57,49713
253,1966,73,151927.5
254,1966,65,90706
255,1966,58,56523
256,1966,54,32263
257,1965,56,45563
258,1965,62,64680
259,1965,67,66799
260,1965,91,192942
261,1965,67,101556
262,1966,62,74760
263,1965,63,62951
264,1965,64,79129.5
265,1965,67,94122
266,1965,66,69432
267,1965,63,72780
268,1965,68,78877.5
269,1965,69,99004
270,1965,59,52395
271,1965,72,117085.5
272,1966,68,72306
273,1966,57,44064
274,1965,63,69527
275,1966,58,54000
276,1966,60,45280
277,1966,62,85068
278,1966,52,41040
279,1965,59,55880
280,1966,57,62315
281,1966,68,77004.5
282,1966,62,59251
283,1966,84,235365
284,1966,63,94394
285,1966,61,42487.5
286,1966,58,65360
287,1965,51,31602
288,1966,62,68724
289,1966,62,66216
290,1966,61,58089
291,1966,58,42622
292,1966,57,51035
293,1966,76,123630
294,1966,66,84766.5
295,1966,62,70782
296,1966,59,51518.5
297,1966,66,77212.5
298,1966,60,80688
299,1966,70,100682.5
300,1966,73,99852
301,1966,69,93129
302,1966,82,182398.5
303,1966,65,82870.5
304,1966,61,70482
305,1966,64,96427.5
306,1966,66,77052.5
307,1966,64,72772
308,1966,68,106865
309,1966,60,52704
310,1966,59,57921
311,1966,59,50786
312,1966,63,86411
313,1966,62,66487.5
314,1966,93,212289
315,1966,54,52520
316,1966,65,48360
317,1966,68,97753.5
318,1966,69,98404
319,1966,61,63504
320,1966,60,59904
321,1966,57,66286.5
322,1966,68,94400
323,1966,63,80726
324,1966,62,64012
325,1966,62,61378.5
326,1966,66,89535
327,1966,68,81567
328,1966,79,155502
329,1966,82,140532
330,1966,65,93264
331,1966,60,61391.5
332,1966,63,90125.5
333,1966,70,107260
334,1966,59,70750
335,1966,63,55705
336,1966,65,63727.5
337,1966,60,61380
338,1966,66,60918
339,1966,62,58247.5
340,1966,62,63830
341,1966,88,207408
342,1966,63,76517.5
343,1966,69,104041.5
344,1966,68,72944
345,1966,65,69064
346,1966,70,94680
347,1966,61,94770
348,1966,61,73856
349,1966,64,75710
350,1966,67,80500
351,1966,66,91979
352,1966,65,85493
353,1966,79,170488
354,1966,62,76856
355,1966,65,75705
356,1966,77,142508.5
357,1966,66,96096
358,1966,66,68425
359,1966,62,66883.5
360,1966,63,71416
361,1966,64,72372
362,1966,67,94514
363,1966,70,105909.5
364,1966,63,52334
365,1966,61,52128
366,1966,63,87817
367,1966,59,53058
368,1966,63,50962.5
369,1966,67,66766
370,1966,63,65369
371,1966,60,51867
372,1966,68,77561
373,1966,65,83232
374,1966,64,83187.5
375,1966,62,61207
376,1966,65,73229
377,1966,65,80892
378,1966,72,126556.5
379,1966,69,88844.5
380,1966,65,64321
381,1966,73,134400.5
382,1966,69,97968
383,1966,70,106260
384,1966,59,73500
385,1966,68,119244
386,1966,66,83160
387,1966,55,34565
388,1966,71,95676
389,1966,74,100544.5
390,1966,57,44512
391,1966,65,75853.5
392,1966,82,211048
393,1966,65,80136
394,1966,68,90681
395,1966,55,38516.5
396,1966,62,71437.5
397,1966,71,104440
398,1966,62,73242
399,1966,65,102959
400,1966,68,84735
401,1966,62,72693
402,1966,63,65613.5
403,1966,64,73093.5
404,1967,69,77785
405,1967,64,64876
406,1966,62,85176
407,1966,55,37800
408,1966,66,94605
409,1966,61,68894
410,1967,57,51072
411,1966,93,218566
412,1967,63,81052.5
413,1967,100,301950
414,1967,65,76120
415,1966,66,88077
416,1966,61,60334
417,1966,61,53768
418,1967,61,76659
419,1966,70,107136
420,1966,110,357220
421,1966,55,43453.5
422,1966,61,69345
423,1966,68,85925
424,1966,60,41118
425,1966,56,45600
426,1966,56,60636
427,1966,66,90972
428,1966,65,94839
429,1966,65,64200
430,1966,62,65124
431,1967,59,55390
432,1967,72,98690
433,1967,61,57330
434,1967,68,115362
435,1967,70,117105
436,1967,69,110538
437,1966,67,108992
438,1967,69,120551.5
439,1967,60,66750
440,1967,65,98585.5
441,1966,62,77101.5
442,1966,75,111786.5
443,1966,60,73829.5
444,1967,59,51277.5
445,1966,93,290238
446,1966,59,72179
447,1967,57,47838
448,1967,64,91065
449,1966,73,89622
450,1967,62,64768
451,1967,57,56206.5
452,1966,63,70452
453,1967,62,75845
454,1966,65,88803
455,1966,65,64025
456,1967,70,111930
457,1967,60,64813
458,1966,69,99654
459,1966,65,72535
460,1966,66,102885.5
461,1966,76,128691
462,1966,54,50976
463,1966,69,107233.5
464,1966,63,61152
465,1966,59,51175
466,1966,64,61488
467,1966,75,151658
468,1966,66,91724
