RowID,Year,Length,Ind
1,1944,21,689
2,1944,20,2627
3,1944,20,1318
4,1944,18,780
5,1944,17,900
6,1944,24,678
7,1944,23,1243
8,1944,20,725
9,1944,20,658
10,1944,17,883
11,1944,23,3697
12,1944,35,501
13,1944,24,2600
14,1944,24,1061
15,1944,19,2623
16,1944,25,582
17,1944,21,913
18,1944,27,839
19,1944,27,791
20,1944,20,844
21,1944,22,835
22,1944,19,736
23,1944,34,524
24,1944,21,516
25,1944,20,730
26,1944,22,757
27,1944,16,986
28,1944,25,1283
29,1944,23,744
30,1944,22,2925
31,1944,24,915
32,1944,25,1464
33,1944,36,759
34,1944,20,1347
35,1944,26,667
36,1944,20,981
37,1944,25,694
38,1944,20,766
39,1944,22,731
40,1944,22,2869
41,1944,22,934
42,1944,22,713
43,1944,23,700
44,1944,21,898
45,1944,18,989
46,1944,23,751
47,1944,21,3264
48,1944,23,699
49,1944,26,1200
50,1944,33,539
51,1944,22,1137
52,1944,20,680
53,1944,22,728
54,1944,24,643
55,1944,23,743
56,1944,22,734
57,1944,23,848
58,1944,22,669
59,1944,27,918
60,1944,27,675
61,1944,32,471
62,1944,16,782
63,1944,26,888
64,1944,20,937
65,1944,30,785
66,1944,20,3635
67,1944,26,907
68,1944,22,2599
69,1944,24,3913
70,1944,22,703
71,1944,21,762
72,1944,23,750
73,1944,20,1192
74,1945,53,524
75,1945,22,870
76,1945,37,934
77,1945,28,676
78,1945,23,1132
79,1945,21,840
80,1945,41,743
81,1945,41,3697
82,1945,27,665
83,1945,45,1200
84,1945,35,3635
85,1945,18,1194
86,1945,26,561
87,1945,20,833
88,1945,38,835
89,1945,25,1341
90,1945,37,1347
91,1945,18,1143
92,1945,24,3983
93,1945,56,501
94,1945,38,751
95,1945,29,886
96,1945,17,951
97,1945,47,667
98,1945,19,795
99,1945,43,516
100,1945,31,981
101,1945,41,757
102,1945,34,900
103,1945,21,846
104,1945,40,1243
105,1945,24,841
106,1945,20,1288
107,1945,43,918
108,1945,51,839
109,1945,19,3600
110,1945,21,1196
111,1945,20,1165
112,1945,23,3958
113,1945,20,3787
114,1945,23,943
115,1945,18,1000
116,1945,38,675
117,1945,27,2584
118,1945,45,694
119,1945,43,658
120,1945,40,699
121,1945,27,764
122,1945,24,856
123,1945,21,1357
124,1945,36,766
125,1945,41,700
126,1945,24,932
127,1945,44,1283
128,1945,30,986
129,1945,33,2623
130,1945,46,582
131,1945,36,725
132,1945,22,944
133,1945,43,1464
134,1945,37,734
135,1945,22,774
136,1945,21,1011
137,1945,23,3919
138,1945,21,809
139,1945,47,785
140,1945,25,1187
141,1945,31,780
142,1945,35,1061
143,1945,24,869
144,1945,42,2600
145,1945,17,905
146,1945,20,3741
147,1945,45,907
148,1945,24,884
149,1945,21,811
150,1945,25,819
151,1945,38,844
152,1945,32,989
153,1945,23,1140
154,1945,43,3913
155,1945,40,2925
156,1945,37,937
157,1945,22,880
158,1945,17,821
159,1945,42,915
160,1945,42,643
161,1945,41,762
162,1945,36,2627
163,1945,38,1137
164,1945,33,1282
165,1945,36,680
166,1945,37,898
167,1945,17,1211
168,1945,39,713
169,1945,45,888
170,1945,23,1206
171,1945,47,791
172,1945,37,913
173,1945,40,2599
174,1945,36,730
175,1945,22,818
176,1945,40,736
177,1945,43,848
178,1945,28,720
179,1945,19,814
180,1945,20,1276
181,1945,22,3827
182,1945,54,539
183,1945,19,3848
184,1945,41,731
185,1945,39,669
186,1945,14,3747
187,1945,36,883
188,1945,51,471
189,1945,15,836
190,1945,20,3936
191,1945,25,1246
192,1945,17,1119
193,1945,18,3627
194,1945,37,3264
195,1945,53,759
196,1945,24,921
197,1945,23,1142
198,1945,23,794
199,1945,40,689
200,1945,17,3853
201,1945,22,3250
202,1945,31,758
203,1945,27,1462
204,1945,38,728
205,1945,19,952
206,1945,22,1096
207,1945,15,1141
208,1945,22,1103
209,1945,25,1054
210,1945,17,1041
211,1945,30,782
212,1945,42,703
213,1945,27,729
214,1945,31,671
215,1945,25,3624
216,1945,22,925
217,1945,22,873
218,1945,40,2869
219,1945,36,1192
220,1945,36,1318
221,1945,39,744
222,1945,24,1101
223,1945,41,750
224,1945,42,678
225,1945,27,979
226,1946,23,3797
227,1946,16,1384
228,1946,18,1395
229,1946,23,1106
230,1946,55,766
231,1946,25,1275
232,1946,33,1143
233,1946,57,934
234,1946,28,1114
235,1946,58,3697
236,1946,15,2575
237,1946,35,1194
238,1946,21,3855
239,1946,21,1236
240,1946,68,501
241,1946,40,3919
242,1946,24,2817
243,1946,38,840
244,1946,34,1165
245,1946,16,3035
246,1946,55,667
247,1946,58,2925
248,1946,18,1451
249,1946,20,798
250,1946,17,859
251,1946,16,1379
252,1946,22,1122
253,1946,49,2584
254,1946,52,757
255,1946,45,981
256,1946,38,1103
257,1946,45,856
258,1946,56,835
259,1946,22,772
260,1946,18,1112
261,1946,18,1172
262,1946,34,1000
263,1946,19,974
264,1946,42,3983
265,1946,21,3762
266,1946,43,932
267,1946,24,1161
268,1946,37,1011
269,1946,23,3012
270,1946,21,1418
271,1946,45,764
272,1946,23,3812
273,1946,62,839
274,1946,26,1208
275,1946,22,1329
276,1946,57,743
277,1946,37,3787
278,1946,26,1036
279,1946,32,821
280,1946,41,944
281,1946,25,1234
282,1946,20,1207
283,1946,44,884
284,1946,21,1076
285,1946,50,886
286,1946,30,1100
287,1946,58,1137
288,1946,27,1157
289,1946,27,1488
290,1946,30,954
291,1946,48,676
292,1946,22,2856
293,1946,44,870
294,1946,56,694
295,1946,52,734
296,1946,25,1222
297,1946,24,1345
298,1946,51,751
299,1946,30,1470
300,1946,21,1186
301,1946,22,1233
302,1946,60,539
303,1946,40,1206
304,1946,40,943
305,1946,61,791
306,1946,38,846
307,1946,58,1243
308,1946,27,1141
309,1946,60,907
310,1946,17,1478
311,1946,19,1479
312,1946,25,1323
313,1946,45,989
314,1946,19,1450
315,1946,21,1317
316,1946,46,665
317,1946,36,1355
318,1946,24,3655
319,1946,22,1415
320,1946,25,1188
321,1946,33,1096
322,1946,58,1464
323,1946,36,3936
324,1946,24,3921
325,1946,56,658
326,1946,20,1193
327,1946,28,4530
328,1946,22,3080
329,1946,20,1383
330,1946,28,1310
331,1946,53,675
332,1946,55,1283
333,1946,20,813
334,1946,54,1061
335,1946,22,3706
336,1946,55,762
337,1946,22,1235
338,1946,34,925
339,1946,46,729
340,1946,22,3724
341,1946,38,3250
342,1946,39,3827
343,1946,24,820
344,1946,16,1126
345,1946,47,561
346,1946,34,3848
347,1946,56,2600
348,1946,36,1288
349,1946,41,1462
350,1946,63,471
351,1946,23,3775
352,1946,41,794
353,1946,34,795
354,1946,23,1465
355,1946,60,918
356,1946,54,699
357,1946,56,700
358,1946,40,1132
359,1946,21,1365
360,1946,39,951
361,1946,51,750
362,1946,24,1026
363,1946,21,1338
364,1946,21,837
365,1946,31,1119
366,1946,20,3819
367,1946,38,1357
368,1946,34,3600
369,1946,39,811
370,1946,26,1170
371,1946,27,1334
372,1946,51,900
373,1946,45,780
374,1946,17,968
375,1946,21,871
376,1946,19,1290
377,1946,32,3627
378,1946,24,1373
379,1946,29,1205
380,1946,38,814
381,1946,21,1360
382,1946,45,819
383,1946,35,1276
384,1946,51,731
385,1946,25,1374
386,1946,48,986
387,1946,25,1477
388,1946,19,3849
389,1946,54,1347
390,1946,56,915
391,1946,23,3632
392,1946,42,1341
