"","date","session","phase","id","mass","stage","repro"
"1",1973-09-01,"24","increase","aa1-10",41,"j","1"
"2",1973-10-01,"25","increase","aa1-10002",17,"a","2"
"3",1973-12-01,"27","decline","aa1-10002",35,"a","2"
"4",1973-10-01,"25","increase","aa1-10006",29,"a","2"
"5",1973-10-01,"25","increase","aa1-10008",8,"j","1"
"6",1973-10-01,"25","increase","aa1-10009",9,"j","1"
"7",1973-11-01,"26","decline","aa1-10009",35,"a","2"
"8",1976-06-01,"57","decline","aa1-10010",39,"a","2"
"9",1976-07-01,"58","decline","aa1-10010",44,"a","2"
"10",1976-08-01,"59","decline","aa1-10010",42,"a","2"
"11",1976-09-01,"60","decline","aa1-10010",41,"a","2"
"12",1973-10-01,"25","increase","aa1-10011",38,"a","2"
"13",1973-10-01,"25","increase","aa1-10014",44,"a","2"
"14",1973-10-01,"25","increase","aa1-10016",24,"a","2"
"15",1973-11-01,"26","decline","aa1-10020",42,"a","2"
"16",1975-07-01,"46","increase","aa1-10021",20,"a","2"
"17",1975-07-01,"46","increase","aa1-10022",29,"a","2"
"18",1974-03-01,"30","trough","aa1-10023",26,"a","2"
"19",1975-07-01,"46","increase","aa1-10026",38,"j","1"
"20",1975-08-01,"47","increase","aa1-10026",42,"a","2"
"21",1975-07-01,"46","increase","aa1-10028",31,"a","2"
"22",1975-08-01,"47","increase","aa1-10028",36,"a","2"
"23",1975-09-01,"48","increase","aa1-10028",38,"a","2"
"24",1975-10-01,"49","decline","aa1-10028",42,"a","2"
"25",1975-07-01,"46","increase","aa1-10029",35,"a","2"
"26",1975-08-01,"47","increase","aa1-10029",40,"a","4"
"27",1975-09-01,"48","increase","aa1-10029",42,"a","2"
"28",1975-10-01,"49","decline","aa1-10029",45,"a","2"
"29",1975-12-01,"51","decline","aa1-10029",36,"a","2"
"30",1975-07-01,"46","increase","aa1-10033",34,"a","2"
"31",1975-08-01,"47","increase","aa1-10033",37,"a","2"
"32",1975-09-01,"48","increase","aa1-10033",37,"a","2"
"33",1975-10-01,"49","decline","aa1-10033",36,"a","2"
"34",1975-07-01,"46","increase","aa1-10036",30,"a","2"
"35",1975-12-01,"51","decline","aa1-10039",37,"a","2"
"36",1975-10-01,"49","decline","aa1-10043",41,"a","2"
"37",1975-08-01,"47","increase","aa1-10045",53,"a","2"
"38",1973-10-01,"25","increase","aa1-10053",32,"a","2"
"39",1973-12-01,"27","decline","aa1-10053",42,"a","2"
"40",1975-10-01,"49","decline","aa1-10054",15,"j","1"
"41",1975-08-01,"47","increase","aa1-10055",36,"a","2"
"42",1975-09-01,"48","increase","aa1-10055",43,"a","2"
"43",1975-10-01,"49","decline","aa1-10055",38,"a","2"
"44",1975-08-01,"47","increase","aa1-10056",28,"a","2"
"45",1975-09-01,"48","increase","aa1-10056",43,"a","2"
"46",1975-08-01,"47","increase","aa1-10059",35,"a","2"
"47",1975-09-01,"48","increase","aa1-10059",40,"a","2"
"48",1975-10-01,"49","decline","aa1-10059",44,"a","2"
"49",1975-11-01,"50","decline","aa1-10059",46,"a","2"
"50",1975-08-01,"47","increase","aa1-10062",30,"j","1"
"51",1975-09-01,"48","increase","aa1-10062",38,"a","2"
"52",1975-10-01,"49","decline","aa1-10062",48,"a","2"
"53",1975-08-01,"47","increase","aa1-10063",32,"a","2"
"54",1975-10-01,"49","decline","aa1-10063",42,"a","2"
"55",1975-10-01,"49","decline","aa1-10065",20,"a","2"
"56",1975-12-01,"51","decline","aa1-10065",33,"a","2"
"57",1976-01-01,"52","decline","aa1-10065",34,"a","4"
"58",1975-08-01,"47","increase","aa1-10070",26,"a","2"
"59",1975-08-01,"47","increase","aa1-10071",28,"j","1"
"60",1975-09-01,"48","increase","aa1-10072",35,"a","2"
"61",1975-09-01,"48","increase","aa1-10075",10,"j","1"
"62",1975-10-01,"49","decline","aa1-10075",28,"j","1"
"63",1975-09-01,"48","increase","aa1-10076",28,"a","2"
"64",1975-11-01,"50","decline","aa1-10076",39,"a","2"
"65",1975-12-01,"51","decline","aa1-10076",43,"a","2"
"66",1976-02-01,"53","decline","aa1-10076",41,"a","2"
"67",1975-09-01,"48","increase","aa1-10077",30,"a","2"
"68",1975-10-01,"49","decline","aa1-10077",40,"a","2"
"69",1975-09-01,"48","increase","aa1-10084",8,"j","1"
"70",1976-01-01,"52","decline","aa1-10084",26,"j","1"
"71",1975-09-01,"48","increase","aa1-10085",9,"j","1"
"72",1975-09-01,"48","increase","aa1-10086",7,"j","1"
"73",1975-11-01,"50","decline","aa1-10086",40,"a","2"
"74",1975-10-01,"49","decline","aa1-10087",28,"a","2"
"75",1975-09-01,"48","increase","aa1-10088",9,"j","1"
"76",1975-10-01,"49","decline","aa1-10088",26,"a","2"
"77",1975-05-01,"44","trough","aa1-10091",33,"j","1"
"78",1975-06-01,"45","trough","aa1-10091",37,"j","1"
"79",1975-07-01,"46","increase","aa1-10091",38,"a","2"
"80",1975-08-01,"47","increase","aa1-10091",40,"a","2"
"81",1975-09-01,"48","increase","aa1-10093",38,"a","2"
"82",1975-09-01,"48","increase","aa1-10098",36,"a","2"
"83",1975-11-01,"50","decline","aa1-10104",38,"a","2"
"84",1975-09-01,"48","increase","aa1-10109",16,"j","1"
"85",1975-10-01,"49","decline","aa1-10113",28,"a","2"
"86",1975-10-01,"49","decline","aa1-10115",11,"j","1"
"87",1975-10-01,"49","decline","aa1-10118",16,"j","1"
"88",1975-11-01,"50","decline","aa1-10118",40,"a","2"
"89",1975-12-01,"51","decline","aa1-10118",36,"a","2"
"90",1975-10-01,"49","decline","aa1-10121",16,"j","1"
"91",1975-10-01,"49","decline","aa1-10126",13,"j","1"
"92",1975-10-01,"49","decline","aa1-10128",38,"a","2"
"93",1975-11-01,"50","decline","aa1-10128",42,"a","2"
"94",1975-10-01,"49","decline","aa1-10129",15,"j","1"
"95",1975-10-01,"49","decline","aa1-10130",10,"j","1"
"96",1975-10-01,"49","decline","aa1-10138",13,"j","1"
"97",1975-10-01,"49","decline","aa1-10139",13,"j","1"
"98",1975-10-01,"49","decline","aa1-10140",25,"a","2"
"99",1975-10-01,"49","decline","aa1-10141",13,"j","1"
"100",1975-10-01,"49","decline","aa1-10142",25,"a","2"
"101",1975-10-01,"49","decline","aa1-10144",19,"j","1"
"102",1975-10-01,"49","decline","aa1-10145",18,"a","2"
"103",1975-10-01,"49","decline","aa1-10146",32,"a","2"
"104",1975-10-01,"49","decline","aa1-10147",12,"j","1"
"105",1975-10-01,"49","decline","aa1-10148",9,"j","1"
"106",1975-12-01,"51","decline","aa1-10151",32,"a","2"
"107",1976-02-01,"53","decline","aa1-10151",37,"a","2"
"108",1976-04-01,"55","increase","aa1-10151",34,"a","2"
"109",1976-05-01,"56","increase","aa1-10151",38,"a","2"
"110",1976-06-01,"57","decline","aa1-10151",36,"a","2"
"111",1976-01-01,"52","decline","aa1-10152",32,"j","1"
"112",1975-11-01,"50","decline","aa1-10155",19,"j","1"
"113",1975-10-01,"49","decline","aa1-10160",10,"j","1"
"114",1975-10-01,"49","decline","aa1-10161",27,"a","2"
"115",1975-08-01,"47","increase","aa1-10163",27,"a","2"
"116",1975-11-01,"50","decline","aa1-10165",13,"j","1"
"117",1975-12-01,"51","decline","aa1-10165",33,"a","2"
"118",1975-12-01,"51","decline","aa1-10168",34,"j","1"
"119",1976-01-01,"52","decline","aa1-10168",37,"a","2"
"120",1975-11-01,"50","decline","aa1-10169",20,"a","2"
"121",1976-01-01,"52","decline","aa1-10169",36,"a","2"
"122",1975-11-01,"50","decline","aa1-10170",15,"j","1"
"123",1975-11-01,"50","decline","aa1-10172",50,"a","2"
"124",1975-11-01,"50","decline","aa1-10173",16,"j","1"
"125",1975-11-01,"50","decline","aa1-10174",33,"a","2"
"126",1975-12-01,"51","decline","aa1-10174",40,"a","2"
"127",1975-11-01,"50","decline","aa1-10176",32,"a","2"
"128",1975-12-01,"51","decline","aa1-10176",33,"a","2"
"129",1975-11-01,"50","decline","aa1-10179",30,"a","2"
"130",1975-10-01,"49","decline","aa1-10183",29,"a","2"
"131",1975-11-01,"50","decline","aa1-10183",33,"a","2"
"132",1975-10-01,"49","decline","aa1-10184",16,"j","1"
"133",1975-10-01,"49","decline","aa1-10185",32,"a","2"
"134",1975-10-01,"49","decline","aa1-10186",35,"a","2"
"135",1975-10-01,"49","decline","aa1-10187",32,"a","2"
"136",1975-11-01,"50","decline","aa1-10187",40,"a","2"
"137",1975-12-01,"51","decline","aa1-10187",45,"a","2"
"138",1976-02-01,"53","decline","aa1-10187",43,"a","2"
"139",1975-11-01,"50","decline","aa1-10192",41,"a","2"
"140",1975-12-01,"51","decline","aa1-10192",42,"a","2"
"141",1975-10-01,"49","decline","aa1-10197",13,"j","1"
"142",1975-12-01,"51","decline","aa1-10197",35,"j","1"
"143",1976-01-01,"52","decline","aa1-10197",32,"a","2"
"144",1976-03-01,"54","increase","aa1-10197",37,"a","2"
"145",1976-04-01,"55","increase","aa1-10197",34,"a","2"
"146",1975-12-01,"51","decline","aa1-10198",36,"a","2"
"147",1976-01-01,"52","decline","aa1-10198",39,"a","4"
"148",1976-04-01,"55","increase","aa1-10198",38,"a","2"
"149",1975-10-01,"49","decline","aa1-10202",38,"a","2"
"150",1975-10-01,"49","decline","aa1-10203",36,"a","2"
"151",1975-10-01,"49","decline","aa1-10205",17,"j","1"
"152",1975-10-01,"49","decline","aa1-10208",20,"a","2"
"153",1975-10-01,"49","decline","aa1-10212",32,"a","2"
"154",1975-12-01,"51","decline","aa1-10212",45,"a","2"
"155",1976-01-01,"52","decline","aa1-10212",42,"a","2"
"156",1976-02-01,"53","decline","aa1-10212",43,"a","2"
"157",1975-10-01,"49","decline","aa1-10213",40,"a","2"
"158",1975-12-01,"51","decline","aa1-10215",36,"a","2"
"159",1976-01-01,"52","decline","aa1-10215",34,"a","2"
"160",1975-10-01,"49","decline","aa1-10217",12,"j","1"
"161",1975-12-01,"51","decline","aa1-10217",31,"a","2"
"162",1976-04-01,"55","increase","aa1-10218",15,"j","1"
"163",1975-10-01,"49","decline","aa1-10219",31,"a","2"
"164",1975-11-01,"50","decline","aa1-10219",39,"a","2"
"165",1975-10-01,"49","decline","aa1-10221",31,"a","2"
"166",1975-10-01,"49","decline","aa1-10222",39,"a","2"
"167",1975-10-01,"49","decline","aa1-10223",22,"a","2"
"168",1975-10-01,"49","decline","aa1-10224",19,"j","1"
"169",1975-11-01,"50","decline","aa1-10224",44,"a","2"
"170",1975-10-01,"49","decline","aa1-10225",30,"a","2"
"171",1975-10-01,"49","decline","aa1-10227",10,"j","1"
"172",1973-03-01,"18","decline","aa1-1023",48,"a","2"
"173",1975-10-01,"49","decline","aa1-10231",16,"j","1"
"174",1975-12-01,"51","decline","aa1-10231",40,"a","2"
"175",1976-02-01,"53","decline","aa1-10231",44,"a","2"
"176",1976-03-01,"54","increase","aa1-10231",46,"a","2"
"177",1976-04-01,"55","increase","aa1-10231",45,"a","2"
"178",1976-05-01,"56","increase","aa1-10231",48,"a","2"
"179",1975-10-01,"49","decline","aa1-10234",47,"a","2"
"180",1975-11-01,"50","decline","aa1-10234",26,"a","2"
"181",1975-10-01,"49","decline","aa1-10237",31,"a","2"
"182",1975-12-01,"51","decline","aa1-10237",46,"a","2"
"183",1976-01-01,"52","decline","aa1-10237",50,"a","2"
"184",1976-04-01,"55","increase","aa1-10237",46,"a","2"
"185",1975-11-01,"50","decline","aa1-10239",36,"a","2"
"186",1975-12-01,"51","decline","aa1-10239",42,"a","2"
"187",1976-01-01,"52","decline","aa1-10239",40,"a","2"
"188",1976-04-01,"55","increase","aa1-10240",15,"j","1"
"189",1976-06-01,"57","decline","aa1-10240",35,"a","2"
"190",1976-07-01,"58","decline","aa1-10240",31,"a","2"
"191",1975-10-01,"49","decline","aa1-10241",38,"a","2"
"192",1975-12-01,"51","decline","aa1-10241",42,"a","2"
"193",1976-01-01,"52","decline","aa1-10245",37,"a","2"
"194",1976-03-01,"54","increase","aa1-10245",37,"a","2"
"195",1976-01-01,"52","decline","aa1-10255",36,"a","2"
"196",1975-11-01,"50","decline","aa1-10258",33,"a","2"
"197",1973-04-01,"19","decline","aa1-1026",36,"j","1"
"198",1976-02-01,"53","decline","aa1-10260",19,"j","1"
"199",1975-11-01,"50","decline","aa1-10261",15,"j","1"
"200",1975-11-01,"50","decline","aa1-10264",12,"j","1"
"201",1975-12-01,"51","decline","aa1-10264",28,"j","1"
"202",1975-11-01,"50","decline","aa1-10266",35,"a","2"
"203",1975-11-01,"50","decline","aa1-10267",33,"a","2"
"204",1975-12-01,"51","decline","aa1-10267",36,"a","2"
"205",1975-11-01,"50","decline","aa1-10270",34,"a","2"
"206",1975-12-01,"51","decline","aa1-10270",36,"a","2"
"207",1975-12-01,"51","decline","aa1-10272",41,"a","2"
"208",1976-02-01,"53","decline","aa1-10272",50,"a","2"
"209",1976-03-01,"54","increase","aa1-10272",44,"a","2"
"210",1976-04-01,"55","increase","aa1-10272",43,"a","2"
"211",1976-05-01,"56","increase","aa1-10272",48,"a","2"
"212",1975-12-01,"51","decline","aa1-10278",37,"a","2"
"213",1976-02-01,"53","decline","aa1-10279",35,"j","1"
"214",1976-03-01,"54","increase","aa1-10279",39,"a","2"
"215",1976-05-01,"56","increase","aa1-10279",42,"a","2"
"216",1975-12-01,"51","decline","aa1-10282",14,"j","1"
"217",1975-12-01,"51","decline","aa1-10284",13,"j","1"
"218",1976-01-01,"52","decline","aa1-10284",26,"j","1"
"219",1975-12-01,"51","decline","aa1-10286",41,"a","2"
"220",1976-02-01,"53","decline","aa1-10287",36,"a","2"
"221",1976-04-01,"55","increase","aa1-10288",16,"j","1"
"222",1975-12-01,"51","decline","aa1-10289",33,"a","2"
"223",1975-12-01,"51","decline","aa1-10290",39,"a","2"
"224",1975-11-01,"50","decline","aa1-10291",44,"a","2"
"225",1975-12-01,"51","decline","aa1-10293",28,"a","2"
