"","date","session","phase","Captured_individuals","Average_body_mass","Captured_male_juveniles","Captured_breeding_males","Average_juveniles_mass_(t+1)","Average_breeding_male_mass_(t)"
"1","1971-10-01",1,NA,NA,NA,0,0,NA,NA
"2","1971-11-01",2,NA,NA,NA,0,0,NA,NA
"3","1971-12-01",3,NA,NA,NA,0,0,NA,NA
"4","1972-01-01",4,NA,NA,NA,0,0,NA,NA
"5","1972-02-01",5,NA,NA,NA,0,0,NA,NA
"6","1972-03-01",6,NA,NA,NA,0,0,NA,NA
"7","1972-04-01",7,NA,NA,NA,0,0,NA,NA
"8","1972-05-01",8,NA,NA,NA,0,0,20.4137931034483,NA
"9","1972-06-01",9,"increase",145,30.3602941176471,43.5,35,19.8461538461538,34.3939393939394
"10","1972-07-01",10,"increase",197,39.1979695431472,39,64,18.2727272727273,38.21875
"11","1972-08-01",11,"increase",183,42.8222222222222,16.5,63,19,41.4918032786885
"12","1972-09-01",12,"peak",281,40.9571428571429,34.5,109,19.3333333333333,39.6605504587156
"13","1972-10-01",13,"peak",251,38.772,36,84,20.2368421052632,38.0952380952381
"14","1972-11-01",14,"decline",277,34.2717391304348,57,96,21.75,37.40625
"15","1972-12-01",15,"decline",129,33.5503875968992,24,11,23.8,36.6363636363636
"16","1973-01-01",16,"decline",117,34.5431034482759,7.5,12,23.8,36.8333333333333
"17","1973-02-01",17,"decline",139,33.1313868613139,30,32,22,36.71875
"18","1973-03-01",18,"decline",162,37.6583850931677,3,72,NA,39.4305555555556
"19","1973-04-01",19,"decline",75,36.1369863013699,0,21,20.5,37.1
"20","1973-05-01",20,"trough",3,26.6666666666667,3,3,22,26.6666666666667
"21","1973-06-01",21,"trough",1,22,1.5,0,NA,NA
"22","1973-07-01",22,"trough",2,27.5,0,1,22.6666666666667,27
"23","1973-08-01",23,"increase",8,27.375,4.5,6,21.4285714285714,28.3333333333333
"24","1973-09-01",24,"increase",33,32.9393939393939,10.5,15,21.6,35.4666666666667
"25","1973-10-01",25,"increase",55,36.6792452830189,7.5,24,21,37.1739130434783
"26","1973-11-01",26,"decline",71,36.3188405797101,12,22,23.5,37.9523809523809
"27","1973-12-01",27,"decline",35,30,18,5,NA,34.8
"28","1974-01-01",28,"trough",NA,NA,0,0,25,NA
"29","1974-02-01",29,"trough",1,25,1.5,1,NA,25
"30","1974-03-01",30,"trough",10,32,0,3,NA,29.6666666666667
"31","1974-04-01",31,"trough",2,35,0,0,16,NA
"32","1974-05-01",32,"trough",4,32.5,1.5,1,22.6666666666667,32
"33","1974-06-01",33,"trough",6,30.1666666666667,4.5,3,NA,24.3333333333333
"34","1974-07-01",34,"trough",4,40,0,1,15,39
"35","1974-08-01",35,"trough",2,25,1.5,0,NA,NA
"36","1974-09-01",36,"trough",NA,NA,0,0,NA,NA
"37","1974-10-01",37,"trough",NA,NA,0,0,NA,NA
"38","1974-11-01",38,"trough",1,41,0,0,21,NA
"39","1974-12-01",39,"trough",5,27.2,1.5,0,23,NA
"40","1975-01-01",40,"trough",1,23,1.5,0,NA,NA
"41","1975-02-01",41,"trough",NA,NA,0,0,NA,NA
"42","1975-03-01",42,"trough",NA,NA,0,0,NA,NA
"43","1975-04-01",43,"trough",NA,NA,0,0,NA,NA
"44","1975-05-01",44,"trough",1,33,0,0,20.5,NA
"45","1975-06-01",45,"trough",4,28.5,3,1,21.1428571428571,36
"46","1975-07-01",46,"increase",23,31.1739130434783,10.5,12,22.3333333333333,29.8333333333333
"47","1975-08-01",47,"increase",45,34.953488372093,4.5,19,20.1666666666667,37.4117647058824
"48","1975-09-01",48,"increase",70,33.0142857142857,18,17,18.972972972973,38.0588235294118
"49","1975-10-01",49,"decline",177,32.4628571428571,55.5,49,20.2,35.530612244898
"50","1975-11-01",50,"decline",115,31.9391304347826,30,27,21.65,37.4814814814815
"51","1975-12-01",51,"decline",128,32.625,30,35,22,37.4285714285714
"52","1976-01-01",52,"decline",40,34.1,7.5,14,22,38.6428571428571
"53","1976-02-01",53,"decline",76,31.5466666666667,24,13,NA,41
"54","1976-03-01",54,"increase",27,38.1851851851852,0,10,19.4583333333333,37.5
